102 297
1 10 -1
1 7 1
4 98 1
7 9 1
11 10 1
8 10 1
8 98 1
10 11 1
10 9 1
98 8 1
7 8 1
11 9 1
8 9 1
8 7 1
98 10 1
10 98 1
9 10 1
11 7 1
10 8 1
11 8 1
14 12 1
14 13 1
14 15 1
12 13 1
15 13 1
34 40 -1
19 38 1
22 38 1
37 38 1
18 16 1
27 18 1
18 25 1
27 23 1
23 30 1
34 23 -1
19 18 1
38 16 1
16 18 1
35 38 1
19 20 1
31 24 1
22 20 1
38 30 1
26 28 1
38 40 1
23 20 -1
38 39 1
27 16 1
20 31 1
31 36 1
34 38 -1
32 38 -1
16 23 1
30 23 1
35 23 1
25 31 1
18 31 1
20 22 1
23 24 -1
19 26 1
38 31 1
39 26 1
20 39 1
39 38 1
23 38 -1
36 31 1
40 34 -1
34 20 -1
35 31 1
17 40 -1
35 27 1
32 23 -1
38 22 1
25 40 1
23 18 -1
16 38 1
19 23 1
29 20 1
31 38 1
38 29 1
28 26 1
39 20 1
29 23 1
28 38 1
20 38 1
20 36 1
40 38 1
16 34 1
26 39 1
21 38 -1
31 18 1
18 24 1
23 27 -1
31 20 1
20 29 1
25 38 1
38 24 1
18 38 1
29 38 1
19 30 1
31 23 1
38 33 1
19 39 1
31 35 1
19 34 -1
38 36 1
16 27 1
25 18 1
40 23 1
20 35 1
26 24 1
23 34 -1
16 40 1
38 18 1
25 20 1
18 20 1
38 20 1
19 31 1
18 27 1
23 31 -1
17 26 -1
24 26 1
32 40 1
38 35 1
17 38 -1
24 38 1
38 26 1
38 27 1
23 25 -1
20 23 1
24 18 1
36 38 1
27 35 1
24 23 1
23 40 1
26 38 1
23 29 1
17 20 -1
31 25 1
25 23 1
38 37 1
18 23 1
40 16 1
23 35 1
27 38 1
38 23 1
33 38 1
36 20 1
41 43 1
43 47 1
47 43 -1
43 46 1
42 45 1
43 41 1
41 44 1
45 47 1
47 44 1
43 44 1
44 45 1
45 41 1
45 43 -1
41 48 1
44 41 1
44 47 1
42 43 1
47 45 1
41 42 -1
41 45 1
43 42 1
44 43 1
43 45 1
47 41 1
46 41 1
48 41 1
41 47 1
41 46 1
46 43 1
45 42 1
80 55 1
51 55 1
55 54 1
55 52 1
58 55 1
51 57 -1
55 53 1
62 55 1
52 62 1
61 55 1
55 68 1
68 58 1
53 55 1
55 62 1
55 80 1
68 61 1
63 55 1
54 55 1
58 68 1
62 57 -1
68 55 1
55 58 1
55 51 1
52 55 1
55 50 1
55 59 1
55 61 1
59 55 1
49 55 1
55 49 1
50 55 1
61 68 1
62 52 1
55 57 -1
68 54 1
54 68 1
55 63 1
84 81 1
78 81 1
81 76 1
81 72 1
81 79 1
81 68 1
83 81 1
69 77 1
64 80 1
64 66 1
72 81 1
67 81 1
64 73 1
73 80 1
64 77 1
81 84 1
66 64 1
81 70 1
80 81 1
82 81 1
77 81 1
69 75 1
68 73 1
81 80 1
69 81 1
81 66 1
74 81 1
69 68 1
73 83 1
73 77 1
73 64 1
65 81 1
77 64 1
81 83 1
81 73 1
81 78 1
81 64 1
81 65 1
68 74 1
64 81 1
83 73 1
74 68 1
77 69 1
66 81 1
79 81 1
73 81 1
68 81 1
71 81 1
75 69 1
81 67 1
80 64 1
81 75 1
68 69 1
80 73 1
76 81 1
69 73 1
73 69 1
73 68 1
81 82 1
81 74 1
87 86 1
85 86 1
86 85 1
86 87 1
89 98 1
90 91 1
91 90 1
92 93 1
93 92 1
95 94 1
96 97 1
97 96 1
102 101 1
99 98 1
102 100 1
98 102 1
102 99 1
99 102 1
98 99 1
101 102 1
102 98 1
100 102 1
