# This is an adaptation of one of the original Harwell-Boeing instances
169 1661
1 21 -1
1 71 1
1 75 1
1 97 -1
1 105 -1
2 5 1
2 6 -1
2 8 1
2 10 -1
2 12 -1
2 13 -1
2 18 -1
2 25 1
2 27 1
2 28 -1
2 31 -1
2 33 1
2 35 -1
2 37 1
2 39 1
2 41 1
2 43 -1
2 46 1
2 47 1
2 49 -1
2 50 -1
2 52 -1
2 53 -1
2 54 1
2 56 1
2 58 1
2 63 -1
2 72 1
2 76 -1
2 83 1
2 84 1
2 98 1
2 103 1
2 106 -1
2 109 1
2 110 1
2 111 -1
2 122 1
2 125 1
2 129 1
2 130 1
2 134 -1
2 139 1
2 143 1
2 144 1
2 145 -1
2 147 1
2 157 -1
2 159 -1
2 160 -1
2 166 1
3 31 1
3 37 -1
3 39 -1
3 41 -1
3 47 -1
3 49 1
3 52 -1
3 59 -1
3 65 1
3 72 -1
3 106 1
3 110 -1
3 125 1
3 126 -1
3 139 1
3 144 1
3 145 1
3 147 -1
3 160 1
4 37 1
4 41 -1
4 47 1
4 52 1
4 72 1
4 106 -1
4 108 1
4 110 1
4 122 -1
4 125 1
4 126 -1
4 139 1
4 144 1
4 145 1
4 147 1
4 160 1
5 6 -1
5 8 1
5 10 1
5 13 -1
5 15 -1
5 28 1
5 33 -1
5 37 1
5 39 1
5 43 1
5 47 -1
5 49 1
5 50 -1
5 52 -1
5 53 -1
5 54 -1
5 56 1
5 58 1
5 63 1
5 76 1
5 83 1
5 84 -1
5 98 -1
5 103 1
5 109 1
5 110 1
5 111 1
5 119 1
5 122 1
5 125 1
5 129 -1
5 134 -1
5 139 1
5 142 1
5 143 -1
5 144 -1
5 145 -1
5 147 1
5 152 -1
5 157 -1
5 160 1
5 166 1
6 8 -1
6 10 1
6 13 1
6 15 -1
6 18 -1
6 25 1
6 28 1
6 33 1
6 35 -1
6 37 1
6 39 -1
6 41 1
6 43 -1
6 47 1
6 49 1
6 50 1
6 52 -1
6 53 -1
6 54 1
6 56 1
6 58 1
6 63 -1
6 74 1
6 76 -1
6 83 1
6 84 1
6 98 1
6 103 -1
6 106 1
6 109 1
6 110 1
6 111 -1
6 116 -1
6 122 1
6 125 -1
6 129 1
6 130 -1
6 132 -1
6 134 1
6 139 1
6 143 1
6 144 -1
6 145 -1
6 147 1
6 151 -1
6 157 -1
6 159 1
6 160 -1
6 165 1
6 166 1
7 19 -1
7 21 1
7 36 -1
7 44 -1
7 59 -1
7 97 -1
7 105 1
7 112 1
8 10 -1
8 13 1
8 28 -1
8 33 1
8 37 -1
8 39 1
8 43 -1
8 47 -1
8 49 1
8 50 1
8 52 1
8 53 -1
8 56 -1
8 58 1
8 63 1
8 76 -1
8 83 1
8 84 1
8 87 1
8 98 -1
8 103 1
8 109 1
8 110 -1
8 111 -1
8 114 -1
8 119 -1
8 120 -1
8 122 -1
8 125 -1
8 129 -1
8 134 -1
8 139 -1
8 143 1
8 145 1
8 147 1
8 152 1
8 157 1
8 160 1
8 165 -1
8 166 -1
9 41 1
9 116 1
9 161 -1
10 13 1
10 15 1
10 28 1
10 33 1
10 37 -1
10 39 -1
10 41 1
10 43 -1
10 47 1
10 49 1
10 50 1
10 52 1
10 53 -1
10 56 1
10 58 1
10 63 1
10 76 -1
10 83 -1
10 84 -1
10 98 1
10 109 1
10 110 -1
10 111 -1
10 116 -1
10 122 1
10 125 -1
10 128 1
10 129 1
10 139 -1
10 143 -1
10 144 1
10 145 1
10 147 1
10 148 -1
10 157 1
10 160 -1
10 166 1
11 20 -1
11 61 1
11 77 1
11 81 1
11 87 -1
11 91 -1
11 102 -1
11 120 1
11 133 -1
11 135 -1
11 136 1
11 146 -1
11 153 -1
11 162 -1
11 168 -1
12 56 1
12 159 -1
13 15 -1
13 18 1
13 28 1
13 33 1
13 37 1
13 39 1
13 41 -1
13 43 -1
13 47 -1
13 49 -1
13 50 1
13 52 -1
13 53 1
13 56 -1
13 58 1
13 63 -1
13 76 -1
13 83 -1
13 84 -1
13 98 -1
13 103 1
13 106 -1
13 109 1
13 110 1
13 111 -1
13 116 -1
13 122 -1
13 125 -1
13 127 1
13 129 1
13 134 -1
13 139 -1
13 143 -1
13 144 -1
13 145 -1
13 147 1
13 151 -1
13 157 1
13 160 -1
13 166 -1
14 39 1
14 46 -1
14 166 1
15 28 -1
15 31 -1
15 33 1
15 37 -1
15 39 -1
15 41 -1
15 47 1
15 49 -1
15 50 -1
15 52 1
15 53 -1
15 58 1
15 69 1
15 72 1
15 76 1
15 83 1
15 84 1
15 95 1
15 106 1
15 107 -1
15 109 1
15 110 -1
15 111 1
15 116 1
15 122 1
15 125 1
15 129 -1
15 139 -1
15 140 -1
15 144 -1
15 145 1
15 147 -1
