# This is an adaptation of one of the original Harwell-Boeing instances
133 403
1 29 1
1 41 1
1 54 -1
1 129 -1
2 48 1
2 53 1
2 82 1
2 83 -1
2 115 1
3 31 1
3 54 1
3 55 -1
3 102 -1
4 24 1
4 54 -1
4 84 -1
4 131 -1
5 10 -1
5 19 1
5 98 1
5 121 1
5 125 -1
6 46 1
6 64 1
6 74 -1
6 101 1
6 114 1
7 33 1
7 37 -1
7 98 1
7 107 -1
7 116 -1
8 35 -1
8 40 1
8 43 1
8 55 1
8 67 -1
8 75 1
9 13 1
9 29 -1
9 49 -1
9 54 1
9 57 -1
9 75 1
9 77 -1
9 83 1
9 85 -1
9 92 1
9 112 1
9 119 -1
9 132 -1
10 12 1
10 19 -1
10 37 -1
10 91 1
10 97 -1
11 29 -1
11 72 -1
11 96 1
11 129 -1
12 19 -1
12 22 -1
12 25 -1
12 37 1
12 78 1
12 104 1
12 115 1
12 125 1
13 24 1
13 39 1
13 57 -1
13 81 1
13 105 -1
13 110 1
13 114 -1
14 15 1
14 21 1
14 54 1
14 81 1
14 101 -1
14 123 -1
15 24 1
15 39 -1
15 53 1
15 60 1
15 65 -1
15 71 -1
15 126 -1
15 128 -1
16 24 -1
16 28 1
16 29 1
16 85 1
17 34 1
17 62 -1
17 82 1
17 119 -1
18 39 -1
18 48 -1
18 57 -1
18 63 -1
18 64 1
18 69 -1
18 74 -1
18 81 -1
18 86 -1
18 105 -1
18 117 1
18 128 1
19 22 1
19 45 1
19 94 1
19 95 -1
19 106 -1
19 122 1
20 42 -1
20 47 -1
20 106 -1
20 121 -1
21 27 1
21 29 1
21 39 1
21 44 -1
21 71 -1
21 77 -1
21 84 1
21 85 1
21 119 1
22 38 -1
23 43 -1
23 86 1
23 101 -1
23 110 -1
23 113 1
24 57 1
24 75 1
24 77 1
24 92 1
24 109 1
24 119 1
25 91 1
25 107 1
26 47 -1
26 61 -1
26 70 -1
26 94 -1
26 121 -1
27 40 1
27 64 1
27 67 1
28 39 1
28 68 1
28 77 1
28 87 1
28 128 1
28 130 1
29 43 -1
29 48 -1
29 54 -1
29 63 1
29 64 -1
29 84 1
29 85 -1
29 111 1
29 126 1
29 127 -1
30 77 1
30 84 -1
30 109 -1
30 119 -1
31 36 -1
31 64 -1
31 86 -1
32 37 -1
32 45 -1
32 116 1
32 125 -1
33 42 -1
33 47 -1
34 35 -1
34 92 -1
34 109 1
34 119 -1
35 40 -1
35 69 1
35 75 1
35 92 -1
36 52 1
36 60 1
36 100 1
36 131 1
37 42 1
37 43 1
37 48 -1
37 70 1
37 104 -1
37 116 -1
37 118 -1
37 122 1
37 125 1
38 45 1
38 61 -1
38 70 -1
38 95 1
38 121 1
39 43 -1
39 48 -1
39 65 -1
39 72 -1
39 103 1
39 114 1
40 46 1
40 55 1
40 57 -1
40 111 1
40 124 -1
41 64 1
41 84 -1
42 45 1
42 95 -1
42 125 1
43 46 -1
43 59 -1
43 66 1
43 75 -1
43 79 -1
43 88 1
43 90 -1
43 92 -1
43 96 1
43 100 1
43 108 -1
43 110 -1
43 123 -1
43 124 -1
43 128 1
43 131 -1
44 54 1
44 79 -1
44 87 1
44 110 -1
44 114 1
45 98 -1
45 115 -1
45 118 -1
46 55 -1
46 57 1
46 92 -1
48 82 -1
49 54 -1
49 108 -1
49 130 -1
50 70 1
50 78 1
50 107 -1
51 75 -1
51 77 1
51 96 -1
51 109 1
51 119 1
52 54 -1
52 64 1
52 113 -1
53 82 1
53 85 1
53 128 -1
54 62 1
54 67 1
54 71 1
54 73 1
54 80 1
54 85 1
54 86 -1
54 105 1
54 112 -1
54 113 -1
54 117 1
54 128 1
54 129 1
55 114 1
55 117 1
55 123 1
55 124 1
55 127 -1
56 58 -1
56 73 -1
56 100 -1
56 111 -1
56 131 1
57 64 -1
57 81 1
57 99 1
58 59 1
58 69 1
58 87 -1
58 127 -1
59 60 1
59 71 -1
59 100 1
60 69 -1
60 126 1
61 95 -1
61 115 -1
61 121 1
61 122 -1
62 76 -1
62 85 1
63 68 1
63 73 1
64 67 -1
64 73 -1
64 85 1
65 71 1
65 92 1
65 93 1
65 128 -1
65 132 1
66 102 1
66 108 -1
66 120 1
66 126 -1
67 114 1
68 72 1
68 114 1
68 124 1
68 128 -1
69 92 -1
69 131 1
70 91 1
71 124 -1
72 81 1
72 112 1
72 119 -1
72 128 -1
74 85 -1
74 132 1
75 81 1
75 99 -1
75 101 1
76 88 1
76 103 -1
76 108 -1
76 109 1
77 96 -1
78 115 1
78 125 -1
79 88 -1
79 102 -1
79 120 1
80 86 1
80 89 -1
80 105 1
80 113 1
81 92 1
81 93 1
81 114 -1
81 120 1
82 85 -1
82 128 1
83 111 1
83 130 1
84 85 1
85 111 -1
85 126 1
85 127 1
85 130 -1
87 93 -1
87 114 1
88 127 -1
89 103 1
89 108 -1
89 111 1
89 120 1
90 101 -1
90 113 1
90 117 1
90 123 -1
92 113 1
92 123 1
93 110 -1
93 123 1
94 107 1
94 121 1
95 125 -1
97 118 -1
98 106 1
98 118 -1
99 101 1
99 111 1
99 114 -1
100 129 -1
101 117 -1
102 127 -1
102 132 1
103 112 1
103 128 -1
107 116 -1
107 118 1
111 127 1
114 126 -1
114 128 1
120 126 -1
124 127 -1
