# This is an adaptation of one of the original Harwell-Boeing instances
226 1186
1 10 -1
1 17 1
1 32 -1
1 39 1
1 58 1
1 68 1
1 87 1
1 88 1
1 92 -1
1 104 1
1 134 1
1 138 1
1 139 -1
1 152 1
1 158 1
1 163 1
1 165 1
1 179 1
1 181 1
1 182 1
1 187 -1
1 189 -1
1 200 1
1 211 1
1 219 1
2 21 1
2 70 1
2 114 1
2 151 1
2 220 1
3 63 1
3 127 1
3 208 1
4 24 1
4 57 -1
4 73 1
4 128 1
4 133 -1
4 161 -1
5 11 1
5 45 1
5 58 1
5 62 1
5 72 1
5 82 1
5 83 -1
5 86 1
5 90 -1
5 92 1
5 99 1
5 104 1
5 176 1
5 177 1
5 198 1
6 25 -1
6 101 1
6 108 1
6 152 1
6 162 1
7 153 1
7 196 1
7 203 1
8 23 1
8 45 1
8 58 -1
8 62 -1
8 72 1
8 82 1
8 83 1
8 92 1
8 99 1
8 104 1
8 107 1
8 123 1
8 176 1
8 177 1
8 198 1
9 23 1
9 63 1
9 156 1
10 24 1
10 35 1
10 66 1
10 80 1
10 85 1
10 107 1
10 112 1
10 141 -1
10 144 1
10 172 1
10 173 1
10 189 1
10 199 1
10 204 1
10 213 1
10 220 1
11 13 1
11 55 1
11 73 1
11 102 1
11 161 1
12 61 1
12 63 1
12 81 -1
12 122 1
13 74 1
13 139 1
13 177 1
13 180 1
13 219 1
14 42 1
14 71 1
14 74 -1
14 138 1
14 177 1
14 211 -1
15 60 1
15 84 1
15 184 -1
15 201 1
16 39 -1
16 74 1
16 88 -1
16 169 1
16 177 1
16 223 1
17 24 1
17 66 -1
17 80 -1
17 85 1
17 112 1
17 144 1
17 172 1
17 177 1
17 189 1
17 195 -1
17 204 1
17 213 1
17 220 1
18 34 -1
18 52 1
18 55 1
18 66 -1
18 67 1
18 89 1
18 114 1
18 117 1
18 121 1
18 125 1
18 133 1
18 145 1
18 160 1
18 169 1
18 180 1
18 193 1
18 216 1
18 218 1
18 220 1
18 223 1
18 224 1
19 63 -1
19 65 1
19 194 1
20 63 1
20 81 1
20 123 1
21 36 1
21 41 1
21 70 1
21 94 1
21 100 1
21 103 1
21 116 1
21 152 1
21 186 1
21 192 1
21 210 1
21 216 -1
22 97 1
22 119 1
22 129 1
22 159 -1
22 164 1
23 63 -1
24 32 1
24 39 1
24 44 1
24 58 -1
24 68 1
24 87 1
24 88 1
24 92 1
24 104 1
24 138 1
24 139 1
24 158 1
24 163 1
24 165 1
24 177 -1
24 182 1
24 187 1
24 200 1
24 211 1
24 215 1
24 219 1
25 93 1
25 100 -1
25 101 1
25 103 1
25 162 1
26 51 1
26 52 1
26 145 1
26 148 -1
26 172 1
27 97 1
27 142 1
27 191 -1
27 225 -1
28 61 -1
28 63 1
28 111 1
29 63 1
29 122 1
29 127 1
29 194 1
30 103 1
30 108 1
30 154 1
30 168 1
30 178 1
31 110 1
31 113 -1
31 120 1
31 126 1
31 155 1
31 164 1
31 167 1
31 170 1
31 190 1
31 191 1
31 197 -1
31 207 1
31 222 1
32 66 1
32 80 1
32 85 1
32 107 1
32 110 1
32 112 1
32 131 1
32 144 1
32 172 1
32 189 1
32 204 1
32 213 1
32 215 1
32 217 -1
32 220 1
33 56 1
33 60 1
33 184 1
33 202 1
34 52 1
34 55 1
34 66 1
34 67 -1
34 89 1
34 114 1
34 117 1
34 121 1
34 125 1
34 133 1
34 134 -1
34 145 1
34 160 -1
34 169 -1
34 192 -1
34 193 1
34 216 -1
34 218 1
34 220 1
34 224 1
35 71 -1
35 87 1
35 114 1
35 177 1
35 212 -1
35 215 -1
36 52 -1
36 70 1
36 79 1
36 80 1
37 63 1
37 115 1
37 128 1
