# This is an adaptation of one of the original Harwell-Boeing instances
262 793
1 96 1
1 208 1
2 27 1
2 96 1
2 159 1
2 186 1
3 27 1
3 52 1
3 145 1
3 208 1
4 9 1
4 76 1
4 81 1
4 99 1
4 127 1
4 136 1
4 192 1
4 257 1
5 63 1
6 57 1
6 93 1
6 108 1
6 202 1
7 56 -1
7 142 1
7 182 1
7 222 1
7 236 1
7 252 -1
8 75 1
8 118 1
8 245 1
8 248 1
9 45 1
9 61 1
9 112 1
9 188 1
9 237 1
10 24 1
10 89 -1
10 97 1
10 107 1
10 122 1
10 129 1
10 164 -1
10 191 -1
10 192 1
10 214 1
10 247 1
10 257 1
11 61 1
11 148 1
11 188 1
11 224 1
11 237 -1
11 243 1
12 30 1
12 63 1
12 72 1
12 159 1
12 186 1
12 242 1
13 40 1
13 55 1
13 71 1
13 137 1
13 160 -1
13 191 1
13 214 1
13 251 1
14 56 -1
14 87 1
14 142 -1
14 162 1
14 182 1
14 235 1
15 38 1
15 141 1
15 179 1
15 207 1
15 238 1
15 258 1
16 18 -1
16 27 1
16 96 -1
16 172 1
16 196 1
16 208 1
17 70 1
17 150 1
17 166 1
17 181 1
18 49 1
18 109 1
18 139 1
18 212 1
18 259 1
19 20 1
19 30 1
19 72 -1
19 118 1
19 242 1
19 245 1
20 40 1
20 71 1
20 83 1
20 110 1
20 149 1
20 170 1
20 189 1
20 209 1
20 227 -1
20 230 1
20 255 -1
21 62 1
21 95 1
21 101 1
21 168 1
22 87 1
22 121 1
22 162 1
22 203 1
22 234 1
22 235 -1
23 24 1
23 67 -1
23 82 1
23 89 1
23 156 1
23 158 1
23 206 1
23 239 1
24 25 1
24 34 1
24 75 1
24 248 -1
25 67 1
25 82 1
25 89 1
25 156 1
25 158 1
25 206 1
25 239 1
26 70 -1
26 148 1
26 150 1
26 180 1
26 224 1
26 243 -1
27 100 1
27 109 1
27 111 1
27 219 -1
27 225 1
28 104 1
29 62 1
29 95 1
29 101 1
29 143 1
29 168 1
30 33 1
30 83 1
30 117 1
30 219 1
30 225 1
30 232 1
31 163 1
32 54 1
32 68 1
32 84 1
32 85 1
32 90 1
32 171 -1
33 52 1
33 72 1
33 145 1
33 220 -1
33 242 1
34 67 1
34 82 1
34 89 1
34 156 -1
34 158 -1
34 206 1
34 239 -1
35 70 1
35 179 1
35 180 1
35 207 1
36 150 1
36 180 1
37 59 1
37 62 -1
37 69 1
37 80 1
37 144 1
37 168 -1
37 194 1
37 246 1
37 249 1
37 250 1
38 46 1
38 161 1
38 184 1
38 185 1
38 204 1
39 57 1
39 108 1
39 159 1
39 186 1
40 118 1
40 174 1
40 195 1
40 245 1
41 44 -1
41 56 1
41 124 1
41 142 1
41 176 1
41 182 1
42 171 1
43 61 1
43 121 1
43 188 1
43 203 1
44 80 -1
44 144 1
44 183 1
44 198 1
45 76 1
45 81 1
45 99 1
45 127 1
45 136 1
45 192 1
45 257 1
46 70 1
46 141 -1
46 150 1
46 180 1
46 238 1
47 61 1
47 163 1
47 166 -1
47 188 1
48 52 1
48 126 1
48 215 -1
48 220 1
49 52 1
49 145 1
49 172 1
49 196 1
49 220 1
50 51 1
50 63 1
50 119 -1
50 159 -1
50 186 -1
50 217 1
51 97 1
51 114 1
51 190 1
51 199 1
51 209 -1
51 247 1
51 255 1
52 59 -1
52 73 1
52 78 -1
52 79 1
52 100 -1
52 117 1
52 132 1
52 221 1
52 246 -1
52 254 1
52 256 1
52 259 1
53 61 1
53 163 1
53 166 1
53 188 1
54 73 -1
54 125 1
54 187 1
54 194 1
54 250 -1
54 256 -1
54 260 1
55 56 1
55 142 1
55 174 1
55 182 1
55 195 1
56 86 1
56 92 1
56 103 1
56 134 1
56 151 1
56 165 1
56 170 1
56 183 -1
56 230 -1
56 251 1
57 82 1
57 106 1
57 107 1
57 114 1
57 129 1
57 199 1
57 228 -1
57 239 1
58 75 1
58 179 1
58 207 1
58 248 1
59 128 1
59 145 1
60 82 1
60 107 1
60 114 1
60 120 1
60 129 1
60 199 1
60 239 -1
61 66 1
61 74 1
61 99 1
61 140 1
61 155 1
61 157 1
61 210 1
62 116 1
62 128 1
62 218 1
63 110 1
63 190 1
63 227 1
63 232 -1
64 75 1
64 118 1
64 245 -1
64 248 1
65 85 1
65 90 1
65 154 1
65 215 1
66 130 1
66 188 1
66 197 1
66 226 1
66 237 -1
67 179 1
67 207 1
67 258 1
68 73 1
68 125 1
68 187 1
68 194 1
68 250 1
68 256 1
68 260 1
69 116 -1
69 128 -1
69 222 1
69 236 -1
69 252 1
70 138 1
70 173 1
70 185 -1
70 216 1
71 118 1
71 174 1
71 195 1
71 245 1
72 83 1
72 117 1
72 219 1
72 225 1
72 232 1
73 84 1
73 145 -1
73 220 1
74 91 1
74 94 1
74 104 1
74 188 1
74 237 1
75 89 -1
75 97 1
75 191 1
75 192 1
75 214 1
75 244 -1
75 247 1
75 257 1
76 112 1
76 179 1
76 207 1
76 258 -1
77 91 1
78 118 1
78 220 1
78 245 1
79 145 1
79 220 1
79 222 1
79 236 1
79 252 1
80 116 1
80 124 1
80 128 1
80 176 1
81 112 1
81 121 1
81 203 1
81 234 1
82 108 1
83 118 1
83 242 1
83 245 1
84 125 1
84 187 1
84 194 -1
84 250 1
84 256 1
84 260 1
85 95 1
85 101 1
85 125 1
85 223 1
86 121 -1
86 182 1
86 203 1
87 102 1
87 134 1
87 175 1
88 90 -1
88 154 1
88 215 1
89 248 1
90 95 1
90 101 1
90 125 1
90 240 1
90 241 1
91 135 1
91 157 1
91 213 1
92 121 -1
92 182 1
92 203 1
93 106 -1
93 153 -1
93 156 1
93 161 1
93 204 1
93 206 1
93 233 1
94 135 1
94 157 1
94 213 1
95 171 -1
95 218 -1
96 105 -1
96 109 1
96 111 -1
96 219 1
96 225 1
97 119 1
97 217 1
97 248 1
98 130 1
98 163 1
98 166 1
98 181 1
98 197 1
98 226 1
99 112 1
99 188 1
99 237 1
100 145 1
100 208 1
101 171 1
101 218 1
103 116 1
103 128 -1
103 182 -1
104 135 1
104 157 1
104 213 1
105 208 1
106 108 1
106 202 1
107 248 1
108 114 1
108 177 1
108 199 1
108 228 1
108 239 1
109 172 -1
109 196 1
109 208 1
110 118 1
110 186 1
111 159 1
111 186 1
112 127 1
112 136 1
112 192 1
112 257 1
113 150 1
113 180 1
114 119 1
114 217 1
115 147 1
115 202 1
115 207 1
115 258 1
116 144 1
116 151 1
116 168 1
116 194 -1
116 240 1
116 241 1
116 249 1
116 250 -1
117 145 1
117 220 1
117 242 1
118 149 1
118 170 1
118 189 1
118 209 1
118 221 1
118 227 1
118 230 1
118 255 1
119 190 -1
119 199 1
119 209 1
119 247 1
119 255 1
121 127 1
121 135 1
121 137 1
121 160 1
121 175 1
121 210 1
121 213 1
122 203 -1
122 234 1
122 248 1
123 148 1
123 163 -1
123 166 1
123 181 1
123 224 -1
123 243 1
124 144 1
124 183 1
125 171 1
126 132 1
126 139 1
126 187 1
126 212 1
126 229 1
126 231 -1
126 260 1
127 203 1
127 234 1
128 144 1
128 151 1
128 168 1
128 194 1
128 240 1
128 241 1
128 246 1
128 249 1
128 250 1
129 248 1
130 146 -1
130 155 1
130 193 1
131 148 1
131 179 1
131 207 1
131 224 1
131 243 1
131 258 -1
132 215 -1
132 220 1
133 226 1
134 142 -1
134 162 1
134 182 1
134 235 1
135 203 -1
135 234 1
136 179 1
136 207 1
136 258 1
137 174 1
137 195 1
137 203 1
137 234 1
138 148 1
138 150 1
138 180 1
138 224 -1
138 243 1
139 154 1
139 172 1
139 196 1
139 215 1
140 148 -1
140 188 1
140 224 1
140 237 1
140 243 -1
141 161 1
141 184 -1
141 185 1
141 204 1
142 165 1
142 170 1
142 183 1
142 230 1
142 251 1
144 176 -1
145 246 1
145 254 -1
145 256 1
145 259 1
146 163 -1
146 166 1
146 181 -1
146 197 1
146 226 1
147 153 1
147 156 1
147 161 1
147 178 1
147 204 1
147 206 1
147 233 1
148 201 1
148 253 1
149 222 1
149 236 -1
149 245 -1
149 252 1
150 185 1
150 216 1
151 182 1
152 218 1
154 187 1
154 212 1
154 229 1
154 231 1
154 260 1
155 188 1
155 197 1
155 226 1
155 237 1
156 202 1
157 188 1
157 237 1
158 179 1
158 207 1
158 258 1
159 190 1
159 211 1
159 228 1
159 232 1
160 174 1
160 195 -1
160 203 1
160 234 1
161 202 1
161 238 1
162 175 -1
162 200 1
163 253 1
164 203 -1
164 234 1
164 248 1
165 182 1
165 222 1
165 236 1
165 252 1
166 216 1
166 253 1
167 188 1
167 207 1
167 237 1
167 258 -1
168 218 1
169 176 -1
171 240 1
171 241 1
172 212 1
172 259 1
173 179 1
173 180 1
173 207 1
174 191 -1
174 214 1
174 251 1
175 203 1
175 234 1
175 235 1
176 183 1
178 202 1
178 207 1
178 258 1
179 184 1
179 201 1
179 244 1
180 185 1
181 216 1
181 253 1
181 261 1
182 183 1
182 251 1
184 207 1
184 238 1
184 258 1
185 238 1
186 190 1
186 227 1
186 228 1
186 232 1
187 215 1
188 205 1
188 210 1
189 222 1
189 236 1
189 245 1
189 252 1
190 217 1
191 195 1
191 248 1
192 248 1
195 214 1
195 251 1
196 212 -1
196 259 1
199 217 1
201 207 1
201 224 1
201 243 1
201 258 1
202 204 1
202 206 1
203 210 -1
203 213 1
204 238 1
205 207 1
205 237 -1
205 258 1
207 244 1
208 219 1
208 225 1
209 217 1
209 245 1
212 215 1
213 234 1
214 248 1
215 260 1
217 247 1
217 255 1
219 242 1
220 221 1
220 254 -1
220 256 1
220 259 1
221 245 1
222 249 1
222 254 1
224 253 1
225 242 -1
232 242 -1
236 249 1
236 254 1
243 253 1
244 248 -1
245 255 -1
247 248 1
248 257 1
249 252 -1
252 254 1
