# This is an adaptation of one of the original Harwell-Boeing instances
81 423
1 5 1
1 7 1
1 10 1
1 18 1
1 26 1
1 38 1
1 55 1
1 59 1
1 62 -1
1 71 1
1 79 1
2 19 1
2 28 1
2 29 1
2 30 1
2 42 -1
2 49 1
2 60 1
2 61 -1
2 66 1
2 68 1
2 70 1
3 9 1
3 24 1
3 33 1
3 36 1
3 37 1
3 40 1
3 44 1
3 46 1
3 50 1
3 72 1
3 80 1
4 29 -1
4 31 -1
4 34 -1
4 49 -1
4 52 -1
4 53 -1
4 56 -1
4 58 -1
4 61 -1
4 66 -1
4 67 -1
5 7 1
5 15 1
5 18 1
5 23 1
5 26 1
5 32 1
5 38 1
5 55 1
5 57 -1
5 71 1
6 10 -1
6 31 -1
6 53 -1
6 58 -1
6 59 -1
6 62 -1
6 63 -1
6 67 -1
6 73 -1
6 75 -1
6 79 -1
7 10 1
7 18 1
7 26 1
7 38 1
7 55 1
7 59 1
7 62 -1
7 71 1
7 79 1
8 12 1
8 14 1
8 22 1
8 27 1
8 47 1
8 54 1
8 64 1
8 65 -1
8 74 1
8 76 1
8 78 1
9 22 1
9 24 1
9 36 1
9 40 1
9 46 1
9 47 1
9 65 -1
9 72 1
9 78 1
9 80 1
10 18 1
10 59 1
10 62 -1
10 63 1
10 71 1
10 73 1
10 75 1
10 79 1
11 12 1
11 21 1
11 27 1
11 35 1
11 45 1
11 64 1
11 74 1
12 14 1
12 21 1
12 27 1
12 35 1
12 45 1
12 54 1
12 64 1
12 74 1
12 76 1
13 16 1
13 19 1
13 20 1
13 28 1
13 30 1
13 39 1
13 41 -1
13 42 -1
13 43 1
13 69 1
13 77 1
14 22 1
14 27 1
14 47 1
14 54 1
14 64 1
14 65 -1
14 74 1
14 76 1
14 78 1
15 23 1
15 26 1
15 32 1
15 33 1
15 37 1
15 38 1
15 44 1
15 50 1
15 55 1
15 57 -1
16 19 1
16 20 1
16 28 1
16 30 1
16 39 1
16 41 -1
16 42 -1
16 43 1
16 69 1
16 77 1
17 25 1
17 39 1
17 41 -1
17 43 1
17 48 1
17 69 1
18 26 1
18 38 1
18 55 1
18 59 1
18 62 -1
18 71 1
18 79 1
19 20 1
19 28 1
19 30 1
19 42 -1
19 60 1
19 68 1
19 70 1
19 77 1
20 28 1
20 30 1
20 39 1
20 41 -1
20 42 -1
20 43 1
20 69 1
20 77 1
21 27 1
21 35 1
21 45 1
21 64 1
21 74 1
22 40 1
22 46 1
22 47 1
22 54 1
22 65 -1
22 76 1
22 78 1
22 80 1
23 26 1
23 32 1
23 33 1
23 37 1
23 38 1
23 44 1
23 50 1
23 55 1
23 57 -1
24 33 1
24 36 1
24 37 1
24 40 1
24 44 1
24 46 1
24 50 1
24 72 1
24 80 1
25 39 1
25 41 -1
25 43 1
25 48 1
25 51 1
25 69 1
26 32 1
26 38 1
26 55 1
26 57 -1
26 71 1
27 35 1
27 45 1
27 54 1
27 64 1
27 74 1
27 76 1
28 30 1
28 42 -1
28 60 1
28 68 1
28 70 1
28 77 1
29 34 1
29 49 1
29 52 -1
29 56 -1
29 60 1
29 61 -1
29 66 1
29 68 1
29 70 1
30 42 -1
30 60 1
30 68 1
30 70 1
30 77 1
31 34 1
31 52 -1
31 53 1
31 56 -1
31 58 1
31 63 1
31 67 -1
31 73 1
31 75 1
32 33 1
32 37 1
32 38 1
32 44 1
32 50 1
32 55 1
32 57 -1
33 36 1
33 37 1
33 44 1
33 50 1
33 57 -1
33 72 1
34 49 1
34 52 -1
34 53 1
34 56 -1
34 58 1
34 61 -1
34 66 1
34 67 -1
35 45 1
35 64 1
35 74 1
36 37 1
36 40 1
36 44 1
36 46 1
36 50 1
36 72 1
36 80 1
37 44 1
37 50 1
37 57 -1
37 72 1
38 55 1
38 57 -1
38 71 1
39 41 -1
39 43 1
39 48 1
39 51 1
39 69 1
39 77 1
40 46 1
40 47 1
40 65 -1
40 72 1
40 78 1
40 80 1
41 43 -1
41 48 -1
41 51 -1
41 69 -1
41 77 -1
42 60 -1
42 68 -1
42 70 -1
42 77 -1
43 48 1
43 51 1
43 69 1
43 77 1
44 50 1
44 57 -1
44 72 1
45 64 1
45 74 1
46 47 1
46 65 -1
46 72 1
46 78 1
46 80 1
47 54 1
47 65 -1
47 76 1
47 78 1
47 80 1
48 51 1
48 69 1
49 52 -1
49 56 -1
49 60 1
49 61 -1
49 66 1
49 68 1
49 70 1
50 57 -1
50 72 1
51 69 1
52 53 -1
52 56 -1
52 58 -1
52 61 -1
52 66 -1
52 67 -1
53 56 -1
53 58 1
53 63 1
53 67 -1
53 73 1
53 75 1
54 64 1
54 65 -1
54 74 1
54 76 1
54 78 1
55 57 -1
55 71 1
56 58 -1
56 61 -1
56 66 -1
56 67 -1
58 63 1
58 67 -1
58 73 1
58 75 1
59 62 -1
59 63 1
59 71 1
59 73 1
59 75 1
59 79 1
60 61 -1
60 66 1
60 68 1
60 70 1
61 66 -1
61 68 -1
61 70 -1
62 63 -1
62 71 -1
62 73 -1
62 75 -1
62 79 -1
63 67 -1
63 73 1
63 75 1
63 79 1
64 74 1
64 76 1
65 76 -1
65 78 -1
65 80 -1
66 68 1
66 70 1
67 73 -1
67 75 -1
68 70 1
69 77 1
71 79 1
72 80 1
73 75 1
73 79 1
74 76 1
75 79 1
76 78 1
78 80 1
