# This is an adaptation of one of the original Harwell-Boeing instances
157 370
1 110 -1
1 125 -1
1 138 -1
2 5 -1
2 45 -1
2 107 -1
3 12 1
3 21 1
3 38 1
3 95 1
3 111 1
4 24 1
4 44 1
4 49 1
5 22 -1
5 66 1
5 79 -1
6 44 1
6 68 1
6 94 1
6 97 1
6 143 1
7 8 1
7 46 -1
7 146 1
8 68 1
8 115 1
8 118 -1
9 28 -1
9 53 1
9 118 -1
9 131 1
9 156 -1
10 17 1
10 100 1
10 101 1
10 104 1
10 106 1
11 81 1
11 89 1
11 94 1
11 97 1
11 126 1
11 131 1
12 69 1
12 93 1
12 125 1
12 142 1
12 152 -1
13 68 1
13 87 1
13 113 1
13 146 1
14 15 1
14 23 1
14 24 1
14 25 1
14 54 1
14 81 1
14 114 -1
14 120 1
14 146 1
15 116 1
15 118 -1
15 134 1
15 138 1
16 21 1
16 59 1
16 89 1
16 94 1
16 131 1
17 43 1
17 80 -1
17 122 1
17 127 1
17 132 1
17 135 -1
17 148 1
18 48 1
18 49 1
18 69 1
18 75 1
18 86 -1
18 92 1
18 133 1
18 155 1
19 79 -1
19 108 1
19 125 1
19 128 1
19 132 1
19 134 1
19 135 -1
19 142 1
20 48 1
20 49 1
20 86 -1
20 87 1
20 88 1
21 66 1
22 26 -1
22 36 -1
22 86 -1
22 97 -1
22 108 -1
22 128 -1
22 140 -1
23 32 1
23 41 1
23 122 1
24 75 1
24 154 1
25 67 1
25 96 1
25 117 1
26 89 1
26 107 1
26 109 1
26 116 1
26 136 1
27 49 1
27 124 1
27 126 1
28 96 -1
28 149 -1
29 33 1
29 35 1
29 43 1
29 148 1
30 40 1
30 52 -1
30 70 1
30 121 1
31 40 1
31 139 1
31 143 1
32 147 1
32 153 -1
33 45 -1
33 56 1
33 61 1
33 99 1
34 57 1
34 75 1
34 88 1
34 113 1
34 129 1
35 38 1
35 52 -1
35 70 1
35 108 1
35 131 1
35 153 -1
36 67 1
36 93 1
36 148 1
37 69 1
37 82 1
37 93 1
37 98 1
38 85 1
38 121 1
39 106 1
39 114 -1
39 155 1
39 156 -1
40 73 1
40 129 1
40 130 -1
41 52 -1
41 95 1
42 72 1
42 76 1
42 97 1
43 63 1
43 80 -1
43 123 1
43 133 1
44 47 1
44 48 1
44 66 1
44 105 1
44 111 1
44 129 1
44 145 -1
45 106 -1
45 148 -1
46 75 -1
46 105 -1
46 115 -1
47 56 1
47 84 1
47 145 -1
48 90 1
49 86 -1
50 58 1
50 61 1
50 64 -1
50 77 -1
50 112 1
51 82 1
51 98 1
51 152 -1
51 155 1
52 57 -1
52 60 -1
53 86 -1
53 106 1
54 105 1
54 137 1
55 87 1
55 108 1
55 123 1
55 125 1
56 65 1
56 106 1
56 155 1
57 106 1
57 120 1
57 147 1
58 124 1
58 140 1
58 150 1
59 66 1
59 86 -1
59 127 1
59 132 1
60 71 1
60 84 1
60 101 1
60 110 1
60 129 1
61 134 1
61 138 1
62 78 1
62 105 1
62 130 -1
62 154 1
63 94 1
63 122 1
63 150 1
64 74 -1
64 124 -1
64 128 -1
65 110 1
65 127 1
66 91 -1
67 117 1
68 81 1
68 121 1
69 145 -1
70 71 1
70 100 1
70 125 1
70 142 1
71 82 1
71 92 1
72 76 1
72 107 1
72 136 1
73 82 1
73 143 1
73 153 -1
74 108 1
74 134 1
74 149 -1
75 90 1
75 94 1
76 105 1
76 117 1
77 110 -1
77 135 -1
77 140 -1
78 88 1
78 139 1
78 146 1
79 118 -1
79 123 -1
79 153 -1
80 101 -1
80 106 -1
80 119 -1
82 83 1
82 152 -1
83 92 1
83 99 1
83 144 1
83 155 1
84 128 1
84 138 1
85 95 1
85 99 1
85 106 1
86 91 -1
87 115 1
87 131 1
88 106 1
88 153 -1
89 117 1
89 140 1
90 151 1
90 154 1
91 110 -1
91 132 -1
92 132 1
92 142 1
93 95 1
93 108 1
93 129 1
94 119 -1
94 133 1
94 145 -1
95 137 1
96 133 1
96 136 1
96 144 1
98 101 1
99 138 1
100 101 1
100 110 1
100 156 -1
101 114 -1
101 134 1
101 138 1
102 118 -1
102 151 1
103 113 -1
103 115 -1
103 151 -1
104 108 1
104 123 1
104 135 -1
105 116 1
105 120 1
105 144 1
106 111 1
108 112 1
108 141 1
108 149 -1
109 126 1
109 136 1
110 112 1
110 131 1
111 152 -1
112 128 1
112 150 1
112 152 -1
113 121 1
113 143 1
114 118 -1
116 126 1
119 127 -1
119 148 -1
120 130 -1
122 154 1
123 124 1
124 149 -1
125 155 1
128 144 1
132 133 1
132 144 1
133 150 1
137 154 1
139 147 1
140 141 1
141 142 1
141 156 -1
142 145 -1
146 147 1
151 155 1
