# This is an adaptation of one of the original Harwell-Boeing instances
105 548
1 10 1
1 14 1
1 41 1
1 77 1
1 83 1
1 104 1
2 52 -1
2 77 -1
2 90 -1
3 57 1
3 64 1
3 89 -1
4 76 -1
4 85 -1
4 96 -1
5 7 -1
5 10 -1
5 14 -1
5 26 -1
5 41 -1
5 43 -1
5 64 -1
5 68 -1
5 71 -1
5 73 -1
5 76 -1
5 77 -1
5 82 -1
5 83 -1
5 95 -1
5 99 -1
6 9 1
6 19 -1
6 21 1
6 24 1
6 36 1
6 37 1
6 39 -1
6 44 -1
6 48 1
6 61 -1
6 74 1
6 91 1
7 13 1
7 18 1
7 26 1
7 27 1
7 32 1
7 41 1
7 43 1
7 64 1
7 73 1
7 76 -1
7 77 1
7 82 1
7 83 1
7 94 1
7 95 1
8 15 1
8 28 -1
8 29 1
8 30 1
8 40 -1
8 41 1
8 45 -1
8 46 1
8 47 1
8 55 1
8 58 -1
8 62 1
8 63 1
8 67 1
8 73 1
8 80 -1
8 82 1
8 93 1
8 98 1
9 19 -1
9 83 1
10 14 1
10 24 1
10 27 1
10 32 1
10 36 1
10 39 -1
10 53 1
10 74 1
11 43 1
11 75 1
11 84 1
12 20 1
12 24 1
12 31 1
12 40 -1
12 42 -1
12 58 -1
12 60 1
12 66 1
12 74 1
12 101 1
12 103 1
13 26 1
13 27 1
13 32 1
13 99 1
14 18 1
14 24 1
14 27 1
14 32 1
14 36 1
14 38 -1
14 39 -1
14 42 -1
14 53 1
14 54 -1
14 71 1
14 74 1
14 81 -1
15 20 1
15 24 1
15 31 1
15 40 -1
15 42 -1
15 58 -1
15 59 1
15 66 1
15 70 1
15 74 1
15 101 1
16 45 -1
16 62 1
16 70 1
16 82 1
16 97 -1
16 98 1
16 103 1
17 33 1
17 43 1
17 49 -1
17 56 1
17 64 1
17 69 1
17 75 1
17 77 1
17 78 -1
17 86 -1
17 89 -1
17 90 1
17 92 1
17 102 -1
18 24 1
18 27 1
18 32 1
18 42 -1
18 53 1
18 68 1
18 74 1
18 81 -1
18 99 1
19 83 -1
20 29 1
20 66 1
20 73 1
21 35 -1
21 48 1
21 61 -1
21 65 1
21 76 -1
21 83 1
21 91 1
21 95 1
21 96 1
22 33 1
22 43 1
22 49 -1
22 56 1
22 64 1
22 69 1
22 75 1
22 77 1
22 78 -1
22 86 -1
22 89 -1
22 90 1
22 92 1
22 102 -1
23 43 -1
23 54 -1
23 82 -1
23 95 -1
24 28 -1
24 29 1
24 35 -1
24 45 -1
24 46 1
24 47 1
24 49 -1
24 50 1
24 62 1
24 63 1
24 67 1
24 70 1
24 71 1
24 75 1
24 86 -1
24 89 -1
24 90 1
24 96 1
24 98 1
24 103 1
25 28 -1
25 41 1
25 47 1
25 67 1
25 70 1
25 100 1
25 103 1
26 27 1
26 32 1
26 68 1
26 94 1
26 99 1
27 41 1
27 43 1
27 64 1
27 68 1
27 71 1
27 73 1
27 76 -1
27 77 1
27 82 1
27 83 1
27 94 1
27 95 1
27 99 1
28 31 -1
28 36 -1
28 39 -1
28 40 -1
28 55 -1
28 58 -1
28 59 -1
28 70 -1
28 74 -1
28 100 -1
28 101 -1
29 31 1
29 36 1
29 40 -1
29 42 -1
29 55 1
29 58 -1
29 66 1
29 74 1
29 101 1
30 40 -1
30 58 -1
30 80 -1
30 101 1
31 40 -1
31 41 1
31 45 -1
31 47 1
31 55 1
31 58 -1
31 62 1
31 63 1
31 67 1
31 73 1
31 80 -1
31 82 1
31 98 1
32 41 1
32 43 1
32 64 1
32 68 1
32 71 1
32 73 1
32 76 -1
32 77 1
32 82 1
32 83 1
32 94 1
32 95 1
32 99 1
33 56 1
33 69 1
33 102 -1
34 43 1
34 49 -1
34 56 1
34 64 1
34 69 1
34 75 1
34 77 1
34 78 -1
34 89 -1
34 90 1
34 102 -1
35 36 -1
35 37 -1
35 38 -1
35 44 -1
35 48 -1
35 51 -1
35 61 -1
35 74 -1
35 79 -1
35 91 -1
36 45 -1
36 47 1
36 49 -1
36 62 1
36 63 1
36 67 1
36 70 1
36 71 1
36 75 1
36 89 -1
36 90 1
36 96 1
36 98 1
36 103 1
37 48 1
37 50 1
37 61 -1
37 65 1
37 76 -1
37 83 1
37 87 1
37 88 1
37 91 1
37 95 1
37 96 1
38 45 -1
38 62 -1
38 70 -1
38 71 -1
38 75 -1
38 98 -1
38 103 -1
39 67 -1
39 70 -1
39 90 -1
39 103 -1
40 41 -1
40 45 -1
40 46 -1
40 47 -1
40 62 -1
40 63 -1
40 67 -1
40 70 -1
40 73 -1
40 80 -1
40 82 -1
40 93 -1
40 98 -1
40 101 -1
40 103 -1
41 55 1
41 58 -1
41 68 1
41 99 1
41 100 1
41 101 1
41 104 1
42 70 -1
42 89 -1
42 96 -1
42 103 -1
43 54 -1
43 56 1
43 68 1
43 78 -1
43 84 1
43 99 1
43 102 -1
44 48 -1
44 50 -1
44 61 -1
44 65 -1
44 76 -1
44 83 -1
44 87 -1
44 88 -1
44 91 -1
44 95 -1
44 96 -1
45 55 -1
45 58 -1
45 59 -1
45 70 -1
45 74 -1
45 97 -1
45 101 -1
46 58 -1
46 74 1
46 101 1
47 55 1
47 58 -1
47 74 1
47 100 1
47 101 1
48 50 1
48 65 1
48 76 -1
48 83 1
48 87 1
48 88 1
48 95 1
48 96 1
49 56 -1
49 74 -1
49 78 -1
49 102 -1
50 61 -1
50 74 1
51 79 -1
51 95 -1
52 77 1
52 90 1
53 71 1
54 71 -1
54 82 -1
54 95 -1
55 62 1
55 63 1
55 67 1
55 70 1
55 73 1
55 80 -1
55 82 1
55 98 1
55 101 1
55 103 1
56 64 1
56 69 1
56 75 1
56 77 1
56 86 -1
56 89 -1
56 90 1
56 92 1
57 64 1
57 89 -1
58 62 -1
58 63 -1
58 67 -1
58 70 -1
58 73 -1
58 80 -1
58 82 -1
58 93 -1
58 98 -1
58 101 -1
58 103 -1
59 70 1
60 62 1
60 67 1
60 103 1
61 65 -1
61 76 -1
61 83 -1
61 87 -1
61 88 -1
61 95 -1
61 96 -1
62 74 1
62 97 -1
62 101 1
62 103 1
63 74 1
63 101 1
64 68 1
64 72 1
64 78 -1
64 81 -1
64 99 1
64 102 -1
65 87 1
65 88 1
65 91 1
66 70 1
66 73 1
66 103 1
67 74 1
67 100 1
67 101 1
67 103 1
68 73 1
68 76 -1
68 77 1
68 82 1
68 83 1
68 95 1
69 78 -1
69 92 1
69 102 -1
70 74 1
71 74 1
72 73 1
72 76 -1
72 81 -1
73 81 -1
73 99 1
73 101 1
74 75 1
74 86 -1
74 89 -1
74 90 1
74 96 1
74 98 1
74 103 1
75 78 -1
75 84 1
75 102 -1
76 81 -1
76 85 -1
76 91 -1
76 99 -1
77 78 -1
77 99 1
77 102 -1
77 104 1
78 89 -1
78 90 -1
79 95 1
80 93 -1
80 101 -1
82 97 -1
82 99 1
82 101 1
83 91 1
83 99 1
83 104 1
85 96 1
86 102 -1
89 102 -1
90 102 -1
91 95 1
91 96 1
92 102 -1
93 101 1
94 99 1
95 99 1
97 98 -1
98 101 1
