# This is an adaptation of one of the original Harwell-Boeing instances
207 556
1 86 -1
1 126 1
2 21 1
2 45 1
2 180 1
2 186 1
3 6 -1
3 42 -1
3 48 -1
3 64 -1
3 66 -1
3 74 -1
3 112 -1
3 116 -1
3 152 -1
3 160 -1
3 182 -1
3 191 -1
4 58 1
4 64 1
4 66 1
4 79 1
4 146 -1
5 135 1
5 166 1
6 17 -1
6 101 1
6 128 -1
7 32 -1
7 69 1
7 124 1
8 20 -1
8 29 -1
8 123 -1
8 131 -1
8 145 -1
9 10 1
9 104 1
9 157 1
10 67 1
10 92 1
10 176 -1
11 54 1
11 70 -1
11 84 1
11 138 1
11 154 1
12 28 -1
12 89 1
12 132 -1
12 133 1
12 142 1
12 175 -1
12 176 -1
13 20 -1
13 99 1
13 102 1
13 114 1
13 148 1
13 150 -1
13 178 -1
14 104 1
14 125 1
14 173 1
14 175 -1
15 108 1
15 139 1
15 193 1
16 65 1
16 151 1
17 48 -1
17 56 -1
17 64 -1
17 66 -1
17 112 -1
17 116 -1
17 160 -1
17 182 -1
17 191 -1
17 192 -1
18 42 -1
18 112 -1
19 93 -1
19 107 -1
19 202 1
20 21 -1
20 38 -1
20 88 -1
20 118 -1
20 167 -1
20 195 -1
21 24 -1
21 51 -1
21 93 -1
21 145 1
21 177 1
22 55 1
22 94 1
22 176 -1
23 91 1
23 103 1
23 119 1
24 100 -1
24 188 -1
25 81 1
25 90 1
25 139 1
25 197 -1
26 48 -1
26 72 -1
26 170 -1
27 46 1
27 65 1
27 87 1
27 124 1
27 133 1
27 143 1
28 32 -1
28 43 -1
28 59 -1
28 89 -1
28 199 -1
29 142 -1
29 167 -1
30 99 1
30 129 1
30 156 -1
30 172 1
31 46 1
31 51 -1
31 60 1
31 71 1
31 77 1
31 133 1
32 72 -1
32 89 -1
32 118 -1
32 182 -1
33 52 1
33 75 1
33 97 1
33 158 1
33 180 1
33 186 1
33 201 1
34 44 -1
34 48 1
34 64 1
34 66 1
34 123 1
34 198 -1
35 51 -1
35 60 1
35 63 -1
35 85 1
35 155 1
35 157 1
36 55 1
36 129 1
36 199 1
37 83 -1
37 139 -1
37 142 -1
37 197 -1
38 40 1
38 48 1
38 84 1
38 129 1
38 145 1
39 43 1
39 93 -1
39 95 -1
39 165 1
39 177 1
40 105 1
40 110 1
41 75 1
41 86 -1
41 158 1
42 58 -1
42 65 -1
42 147 -1
43 55 1
43 67 1
43 89 1
43 92 1
43 187 -1
43 189 -1
44 54 -1
44 57 -1
44 161 -1
44 182 -1
45 206 1
46 71 1
46 159 1
46 187 -1
47 75 1
47 81 1
47 97 1
47 158 1
47 186 1
47 206 1
48 146 -1
49 61 -1
49 80 -1
49 91 -1
49 158 -1
50 104 -1
50 178 -1
50 184 -1
51 92 -1
51 104 -1
51 121 -1
51 132 -1
51 144 -1
51 162 -1
51 165 -1
51 168 -1
52 97 1
52 180 1
53 61 -1
53 90 1
53 119 1
54 128 -1
54 131 -1
54 138 1
54 146 -1
54 149 1
54 184 -1
56 64 1
56 65 1
56 87 1
56 199 1
57 122 -1
57 152 -1
57 156 -1
58 74 1
58 116 1
58 140 1
58 160 1
59 89 1
59 107 -1
59 133 1
59 185 1
59 205 1
60 88 1
60 104 1
60 121 1
60 144 1
60 162 1
61 197 -1
61 200 -1
62 126 1
62 204 1
63 85 -1
63 92 -1
63 95 -1
63 168 -1
63 185 -1
64 105 1
64 120 -1
64 147 -1
64 161 1
64 196 1
65 69 1
65 74 1
65 106 1
65 110 1
65 123 1
65 124 1
65 143 1
65 152 1
66 74 1
66 105 1
66 120 -1
66 147 -1
66 161 1
66 163 1
66 196 1
67 157 1
67 194 1
67 195 1
68 107 -1
68 136 -1
68 171 -1
68 174 -1
68 195 -1
69 85 1
69 92 1
69 133 1
69 162 1
69 164 -1
69 168 1
70 109 -1
70 127 -1
70 141 -1
70 181 -1
71 92 1
71 116 1
71 168 1
72 98 -1
73 78 1
73 98 1
73 164 -1
73 196 1
74 87 1
74 163 1
75 81 1
75 86 -1
75 90 1
75 97 1
75 158 1
75 200 1
76 99 -1
76 105 -1
76 114 -1
76 148 -1
77 92 1
77 174 1
78 125 1
78 196 1
79 147 -1
79 191 1
79 192 1
80 103 1
80 119 1
80 126 1
80 204 1
81 103 1
81 119 1
81 158 1
81 201 1
82 191 -1
82 199 -1
83 88 -1
83 130 -1
84 128 -1
84 134 1
84 137 -1
84 169 1
85 125 1
86 90 -1
86 97 -1
86 158 -1
87 106 1
87 110 1
87 152 1
87 160 1
88 108 1
88 115 -1
88 135 1
88 145 1
88 202 1
89 118 1
89 199 1
90 158 1
91 103 1
91 119 1
91 126 1
91 200 1
92 95 -1
92 124 1
92 157 1
92 202 1
93 175 -1
93 176 -1
93 177 -1
94 139 1
94 175 -1
94 197 -1
95 162 -1
95 166 -1
95 168 -1
96 111 -1
96 172 -1
96 181 -1
97 158 1
97 180 1
97 186 1
97 201 1
98 203 1
99 113 1
99 127 -1
99 134 1
99 167 1
100 115 -1
100 139 1
100 197 -1
101 122 1
101 128 -1
101 131 -1
101 152 1
101 153 1
102 111 1
102 113 1
102 141 1
102 153 1
102 154 1
102 183 1
104 140 1
105 138 1
105 182 1
106 146 -1
106 152 1
106 196 1
107 139 -1
107 197 -1
108 183 1
109 111 -1
109 141 -1
109 150 -1
109 153 -1
110 140 1
110 146 -1
111 114 1
111 127 -1
111 141 1
111 149 1
111 167 1
111 172 1
111 188 1
112 137 -1
112 138 -1
112 196 -1
113 148 1
113 156 -1
113 172 1
113 181 1
114 117 1
114 141 1
114 153 1
114 183 1
114 203 1
115 132 -1
116 143 1
116 189 -1
116 199 1
117 122 1
117 153 1
117 170 1
118 145 1
120 127 -1
120 182 -1
121 155 1
121 173 1
121 179 1
121 194 1
121 202 1
122 148 1
122 154 1
122 169 1
122 170 1
122 178 -1
122 181 1
122 203 1
123 137 -1
124 125 1
124 133 1
124 140 1
124 151 1
124 159 1
124 164 -1
124 168 1
125 140 1
125 147 -1
125 155 1
126 204 1
127 145 -1
127 148 -1
127 156 -1
128 138 -1
128 161 -1
128 169 -1
128 190 -1
130 165 1
130 168 1
130 187 -1
131 190 -1
132 185 -1
133 179 1
134 138 1
134 203 1
135 186 1
135 195 1
136 176 -1
136 177 1
136 179 1
136 193 1
137 138 -1
137 154 -1
137 184 -1
138 182 1
139 174 1
139 187 -1
139 189 -1
140 159 1
140 162 1
141 145 1
141 156 -1
143 151 1
143 163 1
144 159 1
144 179 1
145 195 1
146 147 -1
147 159 -1
148 170 1
148 188 1
149 182 1
149 203 1
150 167 -1
150 169 -1
151 202 1
153 167 1
153 172 1
153 188 1
154 170 1
154 183 1
155 159 1
155 164 -1
156 172 -1
157 160 1
157 168 1
158 200 1
158 201 1
159 192 1
160 189 -1
162 190 1
164 191 -1
164 192 -1
165 205 1
166 171 -1
166 193 1
168 171 -1
168 202 1
170 178 -1
170 181 1
170 203 1
171 205 -1
173 185 1
174 176 -1
174 177 1
174 193 1
174 197 -1
175 176 -1
178 198 -1
178 203 -1
180 206 1
181 190 1
182 184 -1
184 196 -1
189 193 -1
189 197 -1
191 194 1
193 195 1
195 202 1
