# This is an adaptation of one of the original Harwell-Boeing instances
457 1768
1 4 1
1 40 1
1 44 -1
1 57 1
1 103 1
1 200 -1
1 294 1
1 377 -1
1 403 1
2 73 -1
2 154 -1
2 204 1
2 208 1
2 228 1
2 292 1
2 312 -1
2 324 1
2 398 1
3 345 -1
4 8 1
4 14 -1
4 39 1
4 120 1
4 254 1
4 277 1
4 377 -1
4 403 1
5 11 -1
5 32 -1
5 34 -1
5 43 -1
5 46 -1
5 127 -1
5 147 -1
5 284 -1
5 410 -1
6 34 1
6 98 1
6 102 1
6 137 1
6 147 1
6 184 1
6 206 1
6 211 1
6 230 1
7 47 -1
7 49 -1
7 92 -1
7 225 -1
7 227 -1
7 309 -1
7 436 -1
8 57 1
8 103 1
8 120 1
8 178 -1
8 214 1
8 231 1
8 377 -1
8 453 1
9 73 -1
9 85 -1
9 208 -1
9 320 -1
9 324 -1
9 334 -1
9 398 -1
9 407 -1
9 434 -1
10 16 -1
10 83 1
10 162 1
10 246 1
10 339 1
10 449 1
11 37 -1
11 127 -1
11 151 -1
11 166 -1
11 174 -1
11 279 -1
11 284 -1
11 305 -1
12 42 -1
12 175 -1
12 220 1
12 248 1
12 299 1
12 351 1
12 371 -1
12 391 1
12 416 1
13 17 -1
13 37 1
13 115 1
13 151 -1
13 160 -1
13 166 1
13 194 1
13 279 1
13 336 1
14 40 -1
14 44 -1
14 201 -1
14 277 -1
14 282 -1
14 325 -1
14 377 -1
14 394 -1
15 75 1
15 131 -1
15 140 1
15 264 1
15 281 1
15 361 1
15 405 1
16 83 -1
16 162 -1
16 216 -1
16 332 -1
16 356 -1
16 411 -1
16 445 -1
17 115 -1
17 118 -1
17 145 -1
17 194 -1
17 289 -1
17 310 -1
18 54 -1
18 77 -1
18 97 -1
18 210 -1
18 221 -1
18 232 -1
18 328 -1
18 421 -1
18 422 -1
19 73 -1
19 90 -1
19 93 1
19 148 -1
19 154 -1
19 195 1
19 228 1
19 372 1
19 398 1
20 56 1
20 99 1
20 117 1
20 270 1
20 273 1
20 359 1
20 389 -1
21 82 -1
21 171 -1
21 241 -1
21 275 -1
21 283 -1
21 288 -1
21 290 -1
21 417 -1
21 442 -1
22 87 1
22 94 -1
22 106 1
22 130 1
22 278 -1
22 307 1
22 353 -1
23 26 1
23 65 1
23 110 -1
23 150 1
23 234 -1
23 318 1
23 360 -1
24 66 1
24 86 1
24 109 -1
24 138 1
24 190 1
24 306 1
24 346 -1
24 426 -1
24 451 1
25 339 1
26 90 -1
26 93 1
26 148 -1
26 150 1
26 195 1
26 280 1
26 293 -1
26 360 -1
27 84 -1
27 88 1
27 198 -1
27 223 1
27 229 1
27 338 1
27 343 1
27 375 1
27 456 1
28 67 1
28 333 1
28 344 1
28 385 1
28 429 1
28 433 1
28 440 1
29 167 1
29 186 1
29 202 -1
29 364 1
29 381 1
29 412 1
29 423 -1
29 435 1
29 439 1
30 69 1
30 161 -1
30 176 1
30 261 1
30 267 -1
30 390 -1
30 431 1
31 69 1
31 132 1
31 255 1
31 269 -1
31 286 1
31 409 -1
31 431 1
32 46 1
32 141 1
32 155 1
32 158 -1
32 209 -1
32 284 1
32 314 1
32 420 1
33 68 -1
33 84 -1
33 102 -1
33 137 -1
33 198 -1
33 321 -1
33 343 -1
33 428 -1
33 456 -1
34 147 1
34 158 -1
34 166 1
34 206 1
34 279 1
34 284 1
34 314 1
35 66 1
35 109 -1
35 190 1
35 426 -1
36 108 1
36 149 1
36 192 1
36 218 -1
36 242 -1
36 265 1
36 332 1
36 356 -1
36 452 1
37 115 1
37 118 1
37 127 1
37 151 -1
37 289 -1
37 376 1
37 448 1
38 163 1
39 214 1
39 254 1
39 282 1
39 377 -1
39 394 1
39 453 1
40 44 -1
40 91 1
40 142 1
40 207 1
40 277 1
40 401 -1
40 403 1
41 51 1
41 78 1
41 88 1
41 134 -1
41 205 1
41 229 1
41 245 -1
41 352 -1
41 455 -1
42 123 -1
42 129 -1
42 170 -1
42 274 -1
42 302 -1
42 371 -1
42 399 -1
42 416 -1
43 95 1
43 141 1
43 155 1
43 174 -1
43 284 1
43 305 1
43 331 1
43 410 1
44 91 -1
44 142 -1
44 207 -1
44 277 -1
44 401 -1
44 403 -1
45 64 1
45 81 1
45 119 1
45 327 1
46 141 1
46 155 1
46 158 -1
46 209 -1
46 284 1
46 314 1
46 420 1
