# This is an adaptation of one of the original Harwell-Boeing instances
63 77
2 3 -1
2 5 1
3 4 -1
4 5 1
4 6 1
5 9 1
5 10 -1
6 7 -1
6 8 1
7 8 -1
7 20 -1
8 9 1
9 15 -1
9 19 -1
10 11 -1
10 13 -1
11 12 -1
11 59 -1
12 13 -1
12 14 1
13 15 -1
14 15 -1
14 16 -1
16 17 -1
16 62 -1
17 18 -1
17 22 1
17 23 1
17 32 -1
17 53 1
18 19 -1
18 21 -1
19 20 -1
20 58 1
21 22 -1
22 32 -1
23 24 1
24 25 1
24 31 -1
25 26 -1
26 27 -1
26 30 -1
27 29 -1
27 52 -1
28 52 -1
29 30 -1
29 35 -1
29 48 1
30 31 -1
31 32 -1
32 33 -1
33 34 -1
34 37 -1
35 36 -1
35 61 -1
36 42 -1
36 43 -1
37 42 1
37 57 -1
38 39 -1
38 57 -1
39 40 -1
40 41 1
41 54 -1
42 47 -1
42 61 -1
44 45 -1
44 47 -1
45 46 -1
48 49 1
48 50 1
48 51 1
52 56 -1
54 55 -1
54 58 -1
57 58 -1
59 60 -1
