# This is an adaptation of one of the original Harwell-Boeing instances
86 218
1 7 -1
1 25 -1
1 31 -1
1 61 -1
1 78 -1
2 9 -1
2 14 -1
2 27 -1
2 51 -1
2 74 -1
2 77 -1
2 80 -1
3 24 -1
3 59 -1
3 60 -1
3 68 -1
3 76 -1
4 16 -1
4 22 -1
4 62 -1
4 69 -1
4 70 -1
4 85 -1
5 24 -1
5 28 -1
5 41 -1
5 59 -1
6 19 -1
6 52 -1
6 64 -1
6 68 -1
6 84 -1
7 16 -1
7 27 -1
7 39 -1
7 61 -1
7 78 -1
7 80 -1
8 11 -1
8 38 -1
8 42 -1
8 58 -1
8 67 -1
9 14 -1
9 50 -1
9 51 -1
9 62 -1
10 11 -1
10 49 -1
11 38 -1
11 42 -1
11 49 -1
11 67 -1
12 30 -1
12 37 -1
12 54 -1
13 21 -1
13 26 -1
13 35 -1
13 36 -1
13 55 -1
13 82 -1
14 24 -1
14 26 -1
14 40 -1
14 41 -1
14 44 -1
14 50 -1
14 74 -1
15 32 -1
15 34 -1
15 57 -1
15 58 -1
15 72 -1
16 27 -1
16 39 -1
16 51 -1
16 62 -1
16 85 -1
17 47 -1
17 65 -1
17 73 -1
18 20 -1
18 29 -1
18 35 -1
18 45 -1
18 55 -1
18 66 1
19 31 -1
19 52 -1
19 68 -1
19 75 -1
19 78 -1
19 80 -1
20 22 -1
20 29 -1
20 43 -1
20 63 -1
20 66 -1
20 70 -1
21 33 -1
21 35 -1
21 53 -1
21 82 -1
22 63 -1
22 65 -1
22 69 -1
22 70 -1
23 37 -1
23 48 -1
23 54 -1
23 79 -1
24 41 -1
24 59 -1
24 60 -1
24 74 -1
25 31 1
25 61 1
26 36 -1
26 44 -1
26 50 -1
26 55 -1
27 51 -1
27 80 -1
28 41 -1
29 50 -1
29 55 -1
29 62 -1
29 70 -1
30 54 -1
30 71 -1
30 73 -1
31 52 -1
31 78 -1
32 46 -1
32 47 -1
32 56 -1
32 57 -1
32 72 -1
33 35 -1
33 38 -1
33 45 -1
33 53 -1
33 81 -1
34 38 -1
34 45 -1
34 58 -1
34 66 -1
34 72 -1
34 81 -1
35 45 -1
35 55 -1
36 40 -1
36 44 -1
36 82 -1
37 54 -1
38 53 -1
38 58 -1
38 67 -1
38 81 -1
39 61 -1
39 83 -1
39 85 -1
40 41 -1
40 44 -1
43 56 -1
43 63 -1
43 66 -1
43 72 -1
45 66 -1
45 81 -1
46 47 -1
46 57 -1
46 71 -1
46 73 -1
47 56 -1
47 63 -1
47 65 -1
47 73 -1
48 57 -1
48 79 -1
49 53 -1
49 67 -1
50 55 -1
50 62 1
51 62 -1
52 64 -1
53 67 -1
53 82 -1
54 71 -1
54 79 -1
56 63 -1
56 72 -1
57 71 -1
57 79 -1
59 76 -1
60 68 -1
60 74 -1
60 77 -1
61 83 -1
62 70 -1
63 65 -1
64 68 -1
64 76 -1
64 84 -1
65 69 -1
66 72 -1
68 75 -1
68 76 -1
68 77 -1
71 73 -1
71 79 -1
74 77 -1
75 77 -1
75 80 -1
77 80 -1
78 80 -1
83 85 -1
