# This is an adaptation of one of the original Harwell-Boeing instances
230 773
1 24 -1
1 25 -1
1 26 -1
1 48 -1
1 73 -1
1 74 -1
1 96 -1
2 3 -1
2 25 -1
2 26 -1
2 27 -1
2 73 -1
2 74 -1
2 75 -1
3 4 -1
3 26 -1
3 27 -1
3 28 1
3 74 -1
3 75 -1
3 76 1
3 151 -1
3 175 -1
4 5 -1
4 27 -1
4 28 -1
4 29 -1
4 75 -1
4 76 -1
4 77 -1
5 6 -1
5 28 -1
5 29 -1
5 30 -1
5 76 -1
5 77 -1
5 78 -1
6 7 -1
6 29 -1
6 30 -1
6 31 -1
6 77 -1
6 78 -1
6 79 -1
7 8 -1
7 30 -1
7 31 -1
7 32 -1
7 78 -1
7 79 -1
7 80 -1
7 152 -1
7 176 -1
8 9 -1
8 31 -1
8 32 -1
8 33 -1
8 79 -1
8 80 -1
8 81 -1
9 10 -1
9 32 -1
9 33 -1
9 34 -1
9 80 -1
9 81 -1
9 82 -1
10 11 -1
10 33 -1
10 34 -1
10 35 -1
10 81 -1
10 82 -1
10 83 -1
11 12 -1
11 34 -1
11 35 -1
11 36 -1
11 82 -1
11 83 -1
11 84 -1
11 153 -1
11 177 -1
12 13 -1
12 35 1
12 36 -1
12 37 -1
12 83 1
12 84 1
12 85 1
13 14 -1
13 36 -1
13 37 -1
13 38 -1
13 84 -1
13 85 -1
13 86 -1
14 15 -1
14 37 -1
14 38 -1
14 39 -1
14 85 1
14 86 -1
14 87 -1
15 16 -1
15 38 -1
15 39 -1
15 40 -1
15 86 -1
15 87 -1
15 88 -1
15 154 -1
15 178 -1
16 17 -1
16 39 -1
16 40 -1
16 41 -1
16 87 -1
16 88 -1
16 89 -1
17 18 -1
17 40 -1
17 41 -1
17 42 -1
17 88 -1
17 89 -1
17 90 -1
18 19 -1
18 41 -1
18 42 -1
18 43 -1
18 89 -1
18 90 -1
18 91 -1
19 20 -1
19 42 -1
19 43 -1
19 44 -1
19 90 -1
19 91 -1
19 92 -1
19 155 -1
19 179 -1
20 21 -1
20 43 -1
20 44 -1
20 45 -1
20 91 -1
20 92 -1
20 93 -1
21 22 -1
21 44 -1
21 45 -1
21 46 -1
21 92 -1
21 93 -1
21 94 -1
22 23 -1
22 45 -1
22 46 -1
22 47 -1
22 93 -1
22 94 -1
22 95 -1
23 24 -1
23 46 -1
23 47 -1
23 48 1
23 94 -1
23 95 -1
23 96 -1
23 156 -1
23 180 -1
24 25 -1
24 47 -1
24 48 -1
24 73 -1
24 95 -1
24 96 -1
25 26 -1
25 48 -1
25 49 -1
25 50 -1
25 72 -1
26 27 -1
26 49 -1
26 50 -1
26 51 -1
27 28 -1
27 50 -1
27 51 -1
27 52 -1
28 29 -1
28 51 1
28 52 -1
28 53 -1
29 30 -1
29 52 -1
29 53 -1
29 54 -1
30 31 -1
30 53 -1
30 54 -1
30 55 -1
31 32 -1
31 54 -1
31 55 -1
31 56 -1
32 33 -1
32 55 -1
32 56 -1
32 57 -1
33 34 -1
33 56 -1
33 57 -1
33 58 -1
34 35 1
34 57 -1
34 58 1
34 59 1
35 36 -1
35 58 1
35 59 1
35 60 -1
36 37 -1
36 59 -1
36 60 -1
36 61 -1
37 38 -1
37 60 -1
37 61 -1
37 62 -1
38 39 -1
38 61 -1
38 62 -1
38 63 -1
39 40 -1
39 62 -1
39 63 -1
39 64 -1
40 41 -1
40 63 -1
40 64 -1
40 65 -1
41 42 -1
41 64 -1
41 65 -1
41 66 -1
42 43 -1
42 65 -1
42 66 -1
42 67 -1
43 44 -1
43 66 -1
43 67 -1
43 68 -1
44 45 -1
44 67 -1
44 68 -1
44 69 -1
45 46 -1
45 68 -1
45 69 -1
45 70 -1
46 47 -1
46 69 -1
46 70 -1
46 71 -1
47 48 -1
47 70 -1
47 71 -1
47 72 -1
48 49 -1
48 71 -1
48 72 -1
49 50 -1
49 72 -1
