# This is an adaptation of one of the original Harwell-Boeing instances
235 299
2 9 -1
3 13 -1
4 17 -1
5 6 -1
5 20 -1
5 21 -1
5 26 -1
6 7 -1
7 8 -1
7 34 -1
7 35 -1
8 9 -1
9 10 -1
9 22 1
9 28 -1
10 11 -1
11 12 -1
11 36 -1
11 37 -1
12 13 -1
13 14 -1
13 23 -1
13 30 -1
14 15 -1
15 16 -1
15 38 -1
15 39 -1
16 17 -1
17 18 -1
17 24 -1
17 32 -1
18 19 -1
19 20 -1
19 40 -1
19 41 -1
21 25 -1
22 25 -1
23 25 -1
24 25 -1
26 27 -1
27 42 -1
28 29 -1
29 44 -1
30 31 -1
31 46 -1
32 33 -1
33 48 -1
34 42 -1
35 44 -1
36 44 1
37 46 -1
38 46 -1
39 48 -1
40 48 -1
41 42 -1
42 43 -1
42 49 -1
42 50 -1
42 51 -1
42 62 -1
43 44 1
44 45 -1
44 53 1
44 59 -1
44 60 -1
45 46 -1
46 47 -1
46 50 -1
46 55 -1
46 61 -1
47 48 -1
48 49 -1
48 57 -1
51 52 -1
52 63 -1
53 54 -1
54 65 -1
55 56 -1
56 67 -1
57 58 -1
58 69 -1
59 63 -1
60 67 -1
61 69 -1
62 69 -1
63 64 -1
63 70 -1
63 72 -1
63 80 -1
64 65 -1
65 66 -1
65 71 -1
65 74 1
66 67 -1
67 68 -1
67 76 -1
67 81 -1
68 69 -1
69 70 -1
69 71 -1
69 78 -1
69 82 -1
69 83 -1
72 73 1
73 84 -1
74 75 -1
75 86 -1
76 77 -1
77 88 -1
78 79 -1
79 90 -1
80 86 -1
81 86 -1
82 88 -1
83 84 -1
84 85 -1
84 91 -1
84 92 -1
84 93 -1
84 104 -1
85 86 -1
86 87 -1
86 95 -1
86 101 -1
86 102 -1
87 88 -1
88 89 -1
88 92 -1
88 97 -1
88 103 -1
89 90 -1
90 91 -1
90 99 -1
93 94 -1
94 105 -1
95 96 -1
96 107 -1
97 98 -1
98 109 -1
99 100 -1
100 111 -1
101 105 -1
102 109 -1
103 111 -1
104 111 -1
105 106 -1
105 112 -1
105 113 -1
105 114 -1
106 107 -1
107 108 -1
107 113 -1
107 115 -1
108 109 -1
109 110 -1
109 113 -1
109 116 -1
110 111 -1
111 112 1
111 113 -1
111 117 -1
118 122 -1
119 123 -1
120 124 -1
121 125 -1
122 126 -1
123 127 -1
124 128 1
125 129 1
126 130 -1
127 131 1
128 132 -1
129 133 -1
130 134 -1
131 135 -1
132 136 -1
133 137 -1
134 138 -1
135 139 -1
136 140 -1
137 141 -1
142 143 -1
143 144 -1
144 145 -1
145 146 -1
146 147 -1
147 148 -1
147 186 -1
147 189 -1
147 190 -1
147 193 -1
148 149 -1
149 150 -1
149 194 -1
149 197 -1
150 151 -1
151 152 -1
153 154 -1
154 155 -1
155 156 -1
156 157 -1
157 158 1
158 159 -1
158 186 -1
158 187 -1
158 191 -1
159 160 -1
160 161 -1
160 190 -1
160 196 1
160 201 1
161 162 -1
162 163 1
164 165 -1
165 166 -1
166 167 -1
167 168 -1
168 169 -1
169 170 -1
169 187 -1
169 188 -1
170 171 -1
171 172 -1
171 191 -1
171 192 -1
171 201 -1
171 204 -1
172 173 -1
173 174 -1
175 176 1
176 177 -1
177 178 -1
178 179 -1
179 180 -1
180 181 -1
180 188 -1
180 189 -1
180 192 -1
181 182 -1
182 183 -1
182 193 -1
182 197 -1
182 202 -1
183 184 -1
184 185 -1
194 195 -1
194 198 -1
195 196 -1
195 199 -1
196 200 -1
198 202 -1
199 203 -1
200 204 -1
202 203 -1
203 204 -1
205 206 -1
205 211 -1
206 207 -1
206 212 -1
207 208 -1
207 213 -1
208 209 -1
208 214 -1
209 210 -1
209 215 -1
210 216 -1
211 212 -1
211 217 1
212 213 -1
212 218 -1
213 214 -1
213 219 -1
214 215 -1
214 220 -1
215 216 -1
215 221 -1
216 222 -1
217 223 -1
218 224 -1
219 225 -1
220 226 -1
221 227 -1
222 228 -1
223 224 -1
223 229 -1
224 225 -1
224 230 -1
225 226 -1
225 231 -1
226 227 -1
226 232 -1
227 228 -1
227 233 1
228 234 -1
229 230 -1
230 231 -1
231 232 -1
232 233 -1
233 234 -1
