# This is an adaptation of one of the original Harwell-Boeing instances
200 659
1 13 -1
1 19 -1
1 29 -1
1 30 -1
1 42 -1
1 54 -1
1 121 -1
1 150 -1
1 151 -1
1 161 -1
1 176 -1
1 185 -1
2 11 -1
2 43 -1
2 76 -1
2 105 -1
2 129 -1
2 181 -1
2 184 -1
3 20 1
3 22 -1
3 58 -1
3 63 -1
3 129 -1
3 140 -1
3 181 -1
4 33 -1
4 99 -1
4 134 -1
4 148 -1
4 171 -1
4 182 -1
5 64 -1
5 103 -1
5 126 -1
5 134 -1
5 141 -1
5 144 -1
6 88 -1
6 111 -1
6 115 -1
6 155 -1
6 191 -1
6 192 -1
7 10 -1
7 12 -1
7 66 -1
7 147 -1
7 159 -1
7 167 -1
8 14 -1
8 66 -1
8 110 -1
8 161 -1
8 186 -1
9 36 -1
9 37 -1
9 39 -1
9 40 -1
9 59 -1
9 127 -1
9 160 -1
9 164 -1
10 39 -1
10 83 -1
10 115 -1
10 117 -1
10 118 -1
11 125 -1
11 152 -1
11 164 -1
11 178 -1
11 192 -1
12 60 -1
12 66 -1
12 141 -1
12 159 -1
12 168 1
12 194 1
13 45 -1
13 63 -1
13 96 -1
13 124 -1
14 21 -1
14 22 -1
14 80 -1
14 96 -1
14 116 -1
14 135 -1
14 146 -1
15 115 -1
15 135 -1
15 146 -1
15 151 -1
15 158 -1
15 199 -1
16 35 -1
16 76 -1
16 89 -1
16 102 -1
16 140 -1
16 167 -1
16 181 -1
17 44 -1
17 114 -1
17 120 -1
17 137 -1
17 138 -1
17 176 -1
17 179 -1
18 39 -1
18 43 -1
18 91 -1
18 100 -1
18 182 -1
18 198 -1
19 24 -1
19 99 -1
19 134 -1
19 165 -1
20 27 1
20 67 1
20 75 1
20 113 -1
20 130 -1
21 24 1
21 98 -1
21 106 -1
21 122 1
21 142 1
21 170 -1
22 90 -1
22 91 -1
22 118 -1
22 170 -1
22 195 -1
23 51 -1
23 143 -1
23 185 -1
24 30 -1
24 62 1
24 77 -1
24 96 -1
24 101 -1
24 152 -1
25 41 -1
25 71 -1
25 105 -1
25 117 -1
25 136 1
25 155 -1
26 46 1
26 56 -1
26 113 -1
26 149 -1
26 153 -1
26 169 -1
26 188 1
27 35 -1
27 53 -1
27 86 -1
27 114 -1
27 140 -1
28 54 -1
28 97 1
29 32 -1
29 84 -1
29 173 -1
29 196 -1
30 94 -1
30 104 -1
30 139 -1
30 183 -1
31 43 -1
31 66 -1
31 70 -1
31 91 -1
31 168 -1
32 43 -1
32 138 -1
32 150 -1
32 168 -1
33 46 -1
33 64 -1
33 78 -1
33 138 -1
33 153 -1
33 195 -1
34 70 -1
34 74 -1
34 79 -1
34 89 -1
34 127 -1
34 164 -1
34 194 -1
35 70 -1
35 112 -1
35 147 -1
35 189 -1
36 138 -1
36 161 -1
36 168 -1
36 178 -1
37 38 -1
37 95 -1
37 111 -1
37 114 -1
37 148 -1
37 190 -1
38 68 -1
38 81 -1
38 173 -1
38 178 -1
38 192 -1
38 197 -1
39 137 -1
39 145 -1
39 170 -1
39 190 -1
40 46 -1
40 87 -1
40 132 -1
40 157 -1
40 163 -1
41 76 -1
41 88 -1
41 106 -1
41 113 -1
41 147 -1
41 171 -1
41 186 -1
42 83 -1
42 105 -1
42 106 -1
42 173 -1
42 191 -1
43 79 1
43 80 -1
43 102 -1
43 132 -1
44 45 -1
44 92 -1
44 108 -1
44 120 -1
44 163 -1
44 189 -1
45 57 -1
45 92 1
45 109 -1
45 170 -1
45 182 -1
46 59 -1
46 69 -1
46 91 -1
46 162 -1
47 65 -1
47 89 -1
47 129 -1
47 154 -1
47 159 -1
47 167 -1
48 72 -1
48 88 -1
48 89 -1
48 104 -1
48 155 -1
49 55 -1
49 91 -1
49 138 -1
49 144 -1
49 170 -1
49 195 -1
49 197 -1
50 58 -1
50 95 -1
50 122 -1
50 138 -1
50 144 -1
50 145 -1
50 149 -1
50 156 -1
51 109 -1
51 115 -1
51 151 -1
51 180 -1
51 198 -1
52 119 -1
52 156 -1
52 157 -1
52 165 -1
52 173 -1
53 79 -1
53 100 -1
53 142 -1
53 165 -1
53 196 -1
54 66 -1
54 110 -1
54 125 -1
54 126 -1
