103 1051
1 9 -1
1 7 -1
10 2 1
3 6 1
4 7 1
1 2 -1
1 5 -1
3 3 1
1 10 -1
1 6 -1
2 10 1
4 3 1
10 6 1
1 8 -1
1 4 -1
1 3 -1
16 38 -1
78 95 1
24 91 1
37 24 1
23 54 1
76 92 1
33 89 1
20 60 1
29 20 1
32 100 1
52 40 1
91 98 1
22 68 1
16 23 -1
39 20 1
70 91 1
76 28 1
79 86 1
82 88 1
99 29 1
88 24 1
37 37 1
19 95 1
73 103 1
41 51 1
79 51 1
83 76 1
11 41 1
80 23 1
55 26 1
70 49 1
74 94 -1
25 79 1
65 20 1
71 24 1
22 67 1
34 12 1
35 40 1
47 39 1
29 40 1
29 89 1
33 31 -1
84 77 1
88 37 1
34 79 1
37 71 1
22 70 1
76 38 -1
29 69 1
32 39 1
21 76 1
39 51 1
11 13 1
60 32 1
20 65 1
31 76 1
88 87 1
71 37 1
95 64 1
95 95 1
19 51 1
15 31 1
21 99 1
36 94 -1
58 27 1
71 76 1
64 14 1
32 67 1
60 25 1
37 23 1
99 60 1
42 12 1
41 44 1
55 76 1
58 32 1
12 40 1
44 76 1
79 64 1
86 88 1
29 95 1
64 70 -1
33 51 1
50 94 -1
95 25 -1
70 22 1
31 35 1
96 91 1
15 44 1
22 37 1
95 39 1
44 99 1
84 91 1
37 41 1
64 78 1
90 51 1
14 47 1
70 11 1
33 40 1
65 79 1
70 53 1
41 25 -1
40 87 1
51 82 -1
20 76 1
23 76 1
34 91 1
95 28 1
40 90 1
22 71 1
39 95 1
69 76 1
102 76 1
97 60 1
20 88 1
47 38 -1
28 65 1
82 99 1
57 78 1
37 34 1
77 46 1
60 84 1
18 100 1
29 51 1
76 32 1
60 76 1
21 97 1
24 41 1
34 70 1
82 35 1
76 94 -1
97 68 1
37 22 1
76 90 1
60 88 1
15 24 1
97 29 1
25 60 1
70 34 1
15 60 1
19 25 -1
72 100 1
50 33 1
70 95 -1
58 76 1
37 58 1
37 40 1
58 88 1
76 18 1
32 91 1
88 15 -1
12 51 1
82 12 1
11 40 1
19 33 1
17 68 1
53 70 1
54 38 -1
87 76 1
96 50 1
96 11 1
28 76 1
76 93 1
76 98 1
100 93 1
40 88 1
82 77 1
19 82 1
67 39 1
21 79 1
32 94 -1
25 25 1
79 38 -1
86 95 1
24 58 1
15 29 1
93 25 -1
97 24 1
78 21 1
31 79 1
70 23 1
37 20 1
36 13 1
34 53 1
68 103 1
33 17 1
90 33 -1
19 32 1
29 15 1
95 82 1
70 58 1
21 77 1
53 68 1
76 88 1
33 55 1
50 57 1
26 40 1
25 24 1
44 79 1
31 12 1
50 13 1
96 41 1
77 76 1
64 29 1
88 86 1
50 93 1
39 15 1
76 57 1
76 101 -1
23 35 1
100 57 1
25 37 1
86 78 1
86 60 1
37 51 1
49 95 -1
60 99 1
82 79 1
102 35 1
21 29 1
57 29 1
85 60 -1
33 38 -1
11 51 1
39 82 1
70 96 1
44 96 1
76 47 1
70 86 1
21 91 1
76 14 1
33 36 1
79 32 1
70 51 1
24 40 1
56 76 1
13 93 -1
15 76 1
95 47 1
41 21 1
100 40 1
41 65 1
19 88 1
38 64 -1
15 99 1
60 12 1
20 77 1
88 79 1
33 33 1
60 78 1
21 24 1
36 51 1
70 69 1
32 20 1
24 85 1
57 60 1
60 97 1
33 82 1
11 95 1
59 21 1
82 91 1
44 62 1
11 38 -1
29 93 1
58 78 1
57 84 1
97 76 1
86 70 1
