219 523
2 1 1
3 1 -1
4 1 -1
6 5 1
7 5 -1
3 8 1
4 3 1
5 9 1
10 6 1
11 10 1
12 10 1
2 10 -1
13 10 1
7 10 -1
1 14 -1
2 14 -1
4 14 1
6 7 -1
15 8 1
17 16 -1
19 18 1
20 18 -1
17 18 1
21 17 -1
22 15 1
23 15 1
24 15 1
22 23 1
26 25 1
27 25 1
29 28 1
30 28 1
31 28 1
32 28 1
33 28 1
34 28 1
35 28 1
36 28 1
37 28 1
38 28 1
39 27 1
40 27 1
41 19 1
26 19 1
27 19 1
19 42 -1
35 42 1
38 42 1
28 42 1
29 42 1
31 43 -1
26 43 1
27 43 1
44 43 1
28 43 -1
45 43 1
46 43 1
43 47 -1
31 47 1
28 47 1
48 20 1
49 20 1
34 20 1
42 50 1
51 50 1
12 50 1
52 50 1
53 50 1
38 50 1
54 50 -1
49 50 1
55 53 -1
56 53 -1
58 57 1
58 59 1
58 21 1
55 60 1
61 18 -1
58 18 1
62 18 1
60 56 1
62 49 -1
50 63 1
51 63 1
48 38 1
64 58 1
65 58 -1
55 58 1
56 58 1
62 58 1
60 58 1
66 58 1
51 12 1
68 67 1
69 19 -1
70 68 1
71 68 1
67 72 1
73 72 1
74 72 1
67 74 1
48 75 1
76 75 1
78 77 1
79 77 1
80 77 1
81 77 1
82 50 1
83 50 -1
79 50 1
85 84 1
86 84 1
58 84 1
87 84 1
88 84 1
82 84 -1
59 84 1
62 19 1
49 82 1
63 82 1
89 82 1
12 82 1
12 38 1
91 90 1
4 76 1
93 92 1
94 92 1
62 92 1
45 92 1
41 92 1
95 92 1
72 92 1
91 96 1
91 69 1
91 97 1
98 97 1
96 97 1
19 99 -1
100 99 1
96 99 1
101 99 1
42 99 1
77 99 1
102 99 1
80 99 1
75 99 1
69 99 1
103 99 1
56 56 1
39 56 1
91 56 -1
98 91 1
104 91 1
29 91 1
105 91 1
46 91 -1
106 91 1
107 91 1
108 91 1
109 91 1
39 91 -1
110 91 1
12 91 1
39 110 -1
111 19 1
39 19 1
112 19 1
7 19 1
113 46 1
39 72 1
102 39 -1
114 39 1
115 39 -1
66 39 1
116 4 1
117 4 1
118 4 1
94 4 -1
51 4 1
39 113 1
85 113 1
26 113 1
111 113 1
119 113 1
83 113 1
114 113 1
72 113 1
46 111 1
121 120 1
122 120 1
69 123 1
49 123 1
123 123 1
125 124 -1
126 124 1
121 124 -1
25 124 1
127 124 -1
122 124 -1
128 124 -1
37 124 -1
69 124 -1
12 124 -1
102 124 -1
129 124 -1
51 124 1
34 124 -1
130 124 -1
53 124 1
131 124 1
132 124 -1
133 124 1
134 124 -1
90 124 -1
3 124 1
135 124 1
136 90 1
125 25 -1
137 25 1
138 25 1
70 25 1
139 25 1
140 25 1
71 25 1
141 25 1
53 51 1
118 51 1
142 51 1
143 51 1
144 51 1
145 51 1
31 51 1
141 146 1
147 146 1
137 138 1
125 138 -1
148 141 1
149 141 -1
150 141 1
151 141 1
152 141 1
56 141 1
153 141 1
154 141 1
155 141 1
67 141 1
113 141 1
156 141 -1
157 141 1
72 141 1
158 141 1
159 141 1
85 141 1
160 141 1
68 141 1
161 141 1
162 141 1
88 141 1
163 141 1
164 141 1
70 141 1
51 141 1
125 121 1
102 121 1
12 121 1
78 121 1
132 121 1
108 121 1
79 121 1
122 121 1
141 121 -1
77 121 1
34 121 1
165 121 1
166 121 1
167 121 1
36 121 1
69 121 1
168 121 1
169 121 1
170 121 1
156 121 1
149 121 1
171 121 1
76 121 1
172 121 1
173 121 1
121 127 1
49 69 1
129 69 1
51 69 -1
141 69 -1
51 56 1
125 70 -1
124 70 1
138 70 1
51 70 1
51 174 1
141 174 1
122 155 -1
51 72 1
125 102 1
125 129 1
37 129 1
128 129 1
38 129 1
51 166 -1
51 175 1
141 175 1
126 125 -1
122 149 1
136 149 1
125 149 1
176 149 1
127 149 1
175 149 -1
5 149 -1
177 149 -1
178 149 -1
125 122 1
51 130 -1
148 130 -1
141 130 -1
125 12 1
138 12 -1
51 154 1
4 49 1
4 179 1
162 94 1
54 180 1
94 180 1
45 180 1
181 180 1
54 170 -1
180 170 -1
181 170 -1
165 170 1
45 170 -1
14 165 1
54 165 -1
4 182 -1
2 116 1
62 116 1
183 116 -1
68 116 1
56 116 -1
184 116 1
116 92 1
68 92 1
182 92 1
70 92 1
185 92 1
2 92 1
151 92 1
162 92 1
88 92 1
186 92 1
183 53 1
185 53 -1
2 53 -1
94 185 1
19 3 -1
102 9 1
128 9 1
4 9 1
187 9 1
188 9 -1
128 69 1
189 69 1
3 69 1
80 69 1
190 69 1
100 69 1
23 69 1
48 69 1
2 69 -1
38 69 1
162 183 -1
88 183 -1
191 183 1
7 183 -1
139 183 -1
72 183 -1
35 192 1
53 192 1
193 192 1
32 192 1
170 192 1
175 192 1
4 192 1
38 173 1
128 173 1
4 187 1
5 70 1
148 70 1
116 94 1
45 19 1
94 19 1
58 19 1
119 19 1
155 19 1
194 19 1
195 19 1
196 19 1
4 68 -1
188 2 1
184 2 1
4 2 -1
94 74 1
183 74 -1
62 74 1
9 74 -1
185 74 1
94 62 1
185 62 1
34 62 -1
75 4 1
189 4 1
128 4 1
190 4 1
102 4 1
145 4 1
80 4 1
107 4 1
92 4 -1
56 4 1
90 4 1
38 4 1
56 197 -1
19 197 1
137 197 1
183 197 -1
186 197 1
58 197 1
112 197 1
188 197 1
62 93 1
190 80 1
185 80 -1
197 3 -1
100 3 1
197 18 1
197 72 1
18 72 1
54 197 1
199 198 1
16 143 1
200 143 1
144 143 1
201 143 1
202 143 1
204 203 1
199 203 1
204 205 1
204 199 1
206 199 1
207 199 1
208 199 1
209 199 -1
210 199 1
204 3 1
199 3 1
205 3 1
199 211 1
199 9 1
204 202 -1
204 117 1
199 117 1
20 99 1
104 99 1
3 99 1
204 99 1
199 99 1
202 99 -1
204 104 1
54 56 1
5 19 1
160 19 1
199 19 -1
144 19 1
143 54 1
200 54 1
195 54 1
212 54 1
5 54 1
72 54 1
209 54 1
160 54 1
16 7 1
199 49 1
204 213 1
209 72 1
143 72 1
16 72 1
204 72 -1
209 204 -1
214 204 1
211 204 1
9 204 1
49 204 1
215 204 1
216 204 1
210 204 1
206 204 1
20 204 1
217 204 1
143 204 -1
218 209 1
219 209 1
16 209 1
45 209 1
160 209 1
212 209 1
67 209 1
202 209 1
7 209 1
143 209 1
209 214 -1
54 214 -1
42 18 -1
10 18 -1
17 42 1
195 42 -1
