7194 100321
1 4904 1
1 4955 -1
2 6314 -1
3 889 1
4 2504 -1
4 4904 -1
5 1712 1
6 105 1
6 121 1
6 124 1
6 136 1
6 183 1
6 579 1
6 787 1
6 857 1
6 900 1
6 945 1
6 956 1
6 1018 1
6 1117 1
6 1158 1
6 1770 1
6 1994 1
6 2371 1
6 2403 1
6 2413 1
6 2424 1
6 2504 -1
6 2598 1
6 2765 -1
6 2966 1
6 3059 1
6 3083 1
6 3279 1
6 3296 1
6 3311 1
6 3385 1
6 3743 1
6 3818 1
6 4012 1
6 4164 1
6 4192 1
6 4280 1
6 4323 1
6 4399 1
6 4542 1
6 4580 -1
6 4649 1
6 4694 1
6 4844 1
6 5136 1
6 5537 1
6 5579 1
6 5670 1
6 5880 1
6 6103 1
6 6186 1
6 6283 1
6 6360 1
6 6366 1
6 6562 1
6 6814 1
6 6898 -1
6 7167 1
7 134 1
7 1218 1
7 1703 1
7 1744 1
7 1986 1
7 4026 1
7 4048 1
7 4307 1
7 4710 1
7 5009 1
7 6039 1
7 6315 1
7 7122 -1
8 179 1
8 511 1
8 559 1
8 606 1
8 693 1
8 718 1
8 831 1
8 931 1
8 946 1
8 1183 1
8 1259 1
8 1453 1
8 1528 1
8 1605 1
8 1642 1
8 1654 1
8 1720 1
8 1790 1
8 1912 1
8 1940 1
8 2176 1
8 2410 1
8 2482 1
8 2490 1
8 2562 1
8 2657 1
8 2717 1
8 2859 1
8 2921 1
8 2995 1
8 2999 1
8 3133 1
8 3382 1
8 3449 1
8 3546 1
8 3635 1
8 3824 1
8 3855 1
8 3894 1
8 4094 1
8 4365 1
8 4493 1
8 4982 1
8 5030 1
8 5063 1
8 5132 1
8 5218 1
8 5337 1
8 5390 -1
8 5436 1
8 5659 1
8 5734 1
8 5786 1
8 5812 1
8 5856 1
8 5912 1
8 6047 1
8 6183 1
8 6238 1
8 6250 1
8 6282 1
8 6351 1
8 6401 1
8 6469 1
8 6504 1
8 6537 1
8 6552 1
8 6642 1
8 6691 1
8 6797 1
8 6818 1
8 6861 1
8 6880 1
8 7010 1
8 7017 1
8 7052 1
8 7148 1
9 970 -1
9 1054 -1
9 1916 -1
9 2011 -1
